Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
FEN1,0.35068750000000004,1.1287932574571894e-05,0.0078125,8,0.02155009571636085,0.869140625,True,False,up
KLK14,0.49160999999999994,1.4674903450024414e-05,0.001953125,10,0.02155009571636085,0.869140625,True,False,up
CA6,0.48972999999999994,6.297020279636687e-05,0.001953125,10,0.06164782853764317,0.869140625,False,False,up
DNER,0.51463,0.00010363668748690868,0.001953125,10,0.06496895840543908,0.869140625,False,False,up
MMP7,0.5106333333333333,0.00011060428737732223,0.00390625,9,0.06496895840543908,0.869140625,False,False,up
MAPRE3,0.4994777777777778,0.00022911722152206638,0.0078125,9,0.09904439445554399,0.869140625,False,False,up
NCR3LG1,0.3186,0.0002360608652328253,0.001953125,10,0.09904439445554399,0.869140625,False,False,up
MIA,0.3031888888888889,0.0003892124923334022,0.0078125,9,0.14288963624790027,0.869140625,False,False,up
CEACAM5,0.82865,0.00044774075585151947,0.0078125,8,0.14611273332621252,0.869140625,False,False,up
RNF149,0.20752222222222222,0.0006493838895223616,0.00390625,9,0.1907240483527176,0.869140625,False,False,up
CADPS,0.5664,0.0008940460678747191,0.015625,7,0.22743810115495358,0.8757752862595419,False,False,up
C1QTNF1,-0.17278999999999997,0.0009292670118690648,0.001953125,10,0.22743810115495358,0.869140625,False,False,down
PALM2,0.41337999999999997,0.0019867662091710404,0.00390625,10,0.44885633510271894,0.869140625,False,False,up
LYPD3,0.35372222222222227,0.0025572086421170206,0.0078125,9,0.5364658415641207,0.869140625,False,False,up
TADA3,0.36146999999999996,0.003074661996376866,0.009765625,10,0.569697860471988,0.869140625,False,False,up
PSAPL1,0.43136,0.0031035634210254707,0.009765625,10,0.569697860471988,0.869140625,False,False,up
EDEM2,0.7041,0.0033159248959315963,0.01953125,9,0.572874789373594,0.8757752862595419,False,False,up
SH3BP1,0.30040999999999995,0.0037221566451219176,0.009765625,10,0.5734642133942393,0.869140625,False,False,up
CRISP2,0.30444,0.0037274981678383687,0.009765625,10,0.5734642133942393,0.869140625,False,False,up
PSCA,0.35363999999999995,0.003905101895772824,0.00390625,10,0.5734642133942393,0.869140625,False,False,up
