Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
EDN1,0.7859199999999998,1.081296166571422e-06,0.001953125,10,0.003175766841220266,0.11659203506097561,True,True,up
MOG,-0.51785,2.088360776815909e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,down
PTPRR,-0.68052,2.365040141421936e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,down
CTSV,0.34042,2.4876976079971193e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,up
TIMP4,0.45276999999999995,2.9733713187220894e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,up
CXCL17,0.60269,3.440637703846299e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,up
SPP1,0.24020000000000002,3.538703844326071e-05,0.001953125,10,0.014847390272550958,0.11659203506097561,True,False,up
PTPRN2,-0.607088888888889,5.0711689096565775e-05,0.00390625,9,0.01861752885957671,0.11659203506097561,True,False,down
CD8A,0.2988,7.519926521114513e-05,0.001953125,10,0.02320652300265775,0.11659203506097561,True,False,up
TCN2,0.18367,7.901437862668624e-05,0.001953125,10,0.02320652300265775,0.11659203506097561,True,False,up
IL18,0.2545800000000001,0.00011175109094033716,0.001953125,10,0.027684056910350002,0.11659203506097561,True,False,up
SMOC1,0.62393,0.00011311157062451482,0.001953125,10,0.027684056910350002,0.11659203506097561,True,False,up
NPTXR,-0.4554,0.00014397979547070647,0.00390625,9,0.031091752146923227,0.11659203506097561,True,False,down
MB,-0.62273,0.00015703609862745537,0.001953125,10,0.031091752146923227,0.11659203506097561,True,False,down
GDF15,0.30771000000000004,0.00015879342260941384,0.001953125,10,0.031091752146923227,0.11659203506097561,True,False,up
TNC,0.5945400000000001,0.00017377128989840332,0.001953125,10,0.03189789240197566,0.11659203506097561,True,False,up
PRL,2.4385200000000005,0.00021071795517802597,0.001953125,10,0.035865597542411656,0.11659203506097561,True,False,up
VAV3,1.7657555555555555,0.00022978884271195404,0.00390625,9,0.035865597542411656,0.11659203506097561,True,False,up
DAG1,0.5295799999999999,0.00023565478783966156,0.001953125,10,0.035865597542411656,0.11659203506097561,True,False,up
PECAM1,0.33698999999999996,0.0002571281680661093,0.001953125,10,0.035865597542411656,0.11659203506097561,True,False,up
PLA2G7,0.19069999999999998,0.0002683125426472393,0.001953125,10,0.035865597542411656,0.11659203506097561,True,False,up
HMCN2,-0.19860000000000005,0.00026865616136637944,0.001953125,10,0.035865597542411656,0.11659203506097561,True,False,down
STAM,0.94805,0.00028499133396553915,0.001953125,10,0.03635384689532218,0.11659203506097561,True,False,up
FGFBP3,0.44866,0.0002970692289709678,0.00390625,10,0.03635384689532218,0.11659203506097561,True,False,up
USP8,0.7990111111111111,0.0003583587341457975,0.00390625,9,0.038532395984191135,0.11659203506097561,True,False,up
TXNRD1,0.39865000000000006,0.0003648702644993679,0.001953125,10,0.038532395984191135,0.11659203506097561,True,False,up
C1QTNF1,0.2989,0.00036530386343470306,0.001953125,10,0.038532395984191135,0.11659203506097561,True,False,up
SOD2,0.24948,0.00037378996132405326,0.001953125,10,0.038532395984191135,0.11659203506097561,True,False,up
GZMB,0.57135,0.00039093951219579335,0.0078125,8,0.038532395984191135,0.11659203506097561,True,False,up
PAMR1,0.26653000000000004,0.0003935893358957215,0.001953125,10,0.038532395984191135,0.11659203506097561,True,False,up
TFPI,0.21467999999999998,0.0004187362830889682,0.00390625,10,0.039671885917170954,0.11659203506097561,True,False,up
MSRA,0.9390444444444443,0.00045211050194521617,0.00390625,9,0.04030967965213726,0.11659203506097561,True,False,up
ITPA,0.9242875000000002,0.0004529177489004186,0.0078125,8,0.04030967965213726,0.11659203506097561,True,False,up
