Protein,log2FC,t_p,w_p,n_pairs,t_fdr,w_fdr,changed,strict,direction
CALCA,0.7087111111111111,3.2510348293633293e-07,0.00390625,9,0.0009548289293840098,0.12890625,True,True,up
FGFBP3,0.43273,7.833723381288828e-07,0.001953125,10,0.0011503822785422643,0.12204953457446809,True,True,up
ANGPTL4,0.56794,6.309993302324168e-06,0.001953125,10,0.005638419547616034,0.12204953457446809,True,True,up
CRIM1,0.36297,7.679154984836273e-06,0.001953125,10,0.005638419547616034,0.12204953457446809,True,True,up
MYOC,-0.79078,1.3886835065687764e-05,0.001953125,10,0.0068198195049209015,0.12204953457446809,True,True,down
OBP2B,0.7474222222222222,1.3932215536099901e-05,0.00390625,9,0.0068198195049209015,0.12890625,True,True,up
TIMP4,0.47356999999999994,2.09680295823992e-05,0.001953125,10,0.008797586126215206,0.12204953457446809,True,True,up
CXCL17,0.4407,2.426015655010584e-05,0.001953125,10,0.008906509973457606,0.12204953457446809,True,True,up
PRL,2.03595,2.7455262899271638e-05,0.001953125,10,0.00895956745946231,0.12204953457446809,True,True,up
MMP3,-0.40984999999999994,3.6580992567534225e-05,0.001953125,10,0.010743837517084801,0.12204953457446809,True,False,down
PRND,0.17140000000000002,4.616506190754954e-05,0.001953125,10,0.012326071529315726,0.12204953457446809,True,False,up
CCL13,0.47925000000000006,9.349461266188751e-05,0.001953125,10,0.021578896605265095,0.12204953457446809,True,False,up
ESM1,0.26952,9.551435337706716e-05,0.001953125,10,0.021578896605265095,0.12204953457446809,True,False,up
MATN2,0.32145,0.00011041882792305833,0.001953125,10,0.02298175522388505,0.12204953457446809,True,False,up
MZT1,0.49092,0.0001173736221853169,0.001953125,10,0.02298175522388505,0.12204953457446809,True,False,up
RBM17,0.6409299999999999,0.00013000001438702414,0.001953125,10,0.02386312764091812,0.12204953457446809,True,False,up
CST6,0.27103,0.00016510601912961634,0.001953125,10,0.028524492834334305,0.12204953457446809,True,False,up
EDN1,0.7370222222222221,0.00019106858465103415,0.00390625,9,0.031063276246848827,0.12890625,True,False,up
HS6ST1,0.5679399999999999,0.0002009541194041974,0.001953125,10,0.031063276246848827,0.12204953457446809,True,False,up
CELSR2,0.19566249999999996,0.00023817134682756715,0.0078125,8,0.03497546228162823,0.13723273026315788,True,False,up
SMOC1,0.33542,0.0002810270063240905,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
GDF15,0.24852999999999997,0.00028983974691016324,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
FRZB,0.25585555555555556,0.0002909850894538382,0.00390625,9,0.035087806596207076,0.12890625,True,False,up
LAMA4,0.29139,0.0002922213866525496,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
KLK10,0.32477,0.00030175884921117513,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
CTRB1,-0.17703999999999995,0.0003253301114672234,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,down
TNC,0.37021,0.00033676578766502727,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
PTPRH,0.28773,0.0003399783569023529,0.00390625,10,0.035087806596207076,0.12890625,True,False,up
ITGB5,0.45420000000000005,0.00034645774303370964,0.001953125,10,0.035087806596207076,0.12204953457446809,True,False,up
CXCL13,0.38082999999999995,0.0003968951955395472,0.00390625,10,0.037635262617227265,0.12890625,True,False,up
SUMF2,0.5166700000000001,0.0003972397484283437,0.001953125,10,0.037635262617227265,0.12204953457446809,True,False,up
FST,0.4465199999999999,0.0004370110923541225,0.001953125,10,0.040109424320126805,0.12204953457446809,True,False,up
FLT3LG,-0.25764000000000004,0.0005659505050523703,0.001953125,10,0.04870033840876609,0.12204953457446809,True,False,down
AGER,0.21736,0.0005806343943111821,0.00390625,10,0.04870033840876609,0.12890625,True,False,up
SPOCK1,0.3218,0.000588212452131402,0.00390625,9,0.04870033840876609,0.12890625,True,False,up
SCGB3A2,0.15626999999999996,0.000596939796634518,0.00390625,10,0.04870033840876609,0.12890625,True,False,up
AREG,0.19458999999999999,0.0006507907473522083,0.00390625,10,0.05165871418847123,0.12890625,False,False,up
CD8A,0.25347,0.0006956110493033873,0.001953125,10,0.05349768408671137,0.12204953457446809,False,False,up
SPP1,0.22632000000000002,0.0007103880420094462,0.001953125,10,0.05349768408671137,0.12204953457446809,False,False,up
STXBP1,0.7979499999999999,0.0007514299528399996,0.001953125,10,0.05517374428727697,0.12204953457446809,False,False,up
SLC9A3R2,-0.47824,0.000956309566102785,0.005859375,10,0.06850441940594829,0.13723273026315788,False,False,down
PLAT,0.45515999999999995,0.0009935344777825537,0.00390625,10,0.06908548704929253,0.12890625,False,False,up
TNFSF13,0.16219,0.0010227169252134927,0.00390625,10,0.06908548704929253,0.12890625,False,False,up
TNFSF11,-0.6617375000000001,0.0010349885700268544,0.0078125,8,0.06908548704929253,0.13723273026315788,False,False,down
HEPACAM2,0.20554999999999998,0.0010929915673064325,0.007685794055213263,10,0.0713359162928665,0.13723273026315788,False,False,up
MB,-0.39685000000000004,0.0011793276621813555,0.001953125,10,0.0752975074744922,0.12204953457446809,False,False,down
CALCB,0.42955,0.0012104541241490482,0.00390625,10,0.07564050558778201,0.12890625,False,False,up
AHNAK2,-0.31666666666666665,0.0013422502374418942,0.00390625,9,0.08122401918486975,0.12890625,False,False,down
SPINK5,-0.15252,0.0013551164249433496,0.001953125,10,0.08122401918486975,0.12204953457446809,False,False,down
SPON1,0.28697,0.0015439959155031326,0.009765625,10,0.08953239794988373,0.13723273026315788,False,False,up
NDUFB7,0.67693,0.0015546994536752025,0.00390625,10,0.08953239794988373,0.12890625,False,False,up
KAZALD1,0.1721,0.001593161014442511,0.005859375,10,0.08998295960418567,0.13723273026315788,False,False,up
PTN,0.45199000000000006,0.0016461538630997538,0.00390625,10,0.0912217716212071,0.12890625,False,False,up
AGRN,0.33364000000000005,0.0017007193450685328,0.001953125,10,0.09219908468809675,0.12204953457446809,False,False,up
TPP1,0.26891,0.0017265746196272799,0.005859375,10,0.09219908468809675,0.13723273026315788,False,False,up
GDF2,0.26638999999999996,0.001763038609455773,0.005859375,10,0.09246507849949294,0.13723273026315788,False,False,up
DNM1,0.9300200000000001,0.0018436008208214858,0.00390625,10,0.09368995798469588,0.12890625,False,False,up
CLEC1B,1.0501900000000002,0.0018501932458673343,0.001953125,10,0.09368995798469588,0.12204953457446809,False,False,up
ADGRG1,0.37724,0.001931210102766703,0.001953125,10,0.0938176301654541,0.12204953457446809,False,False,up
NCR3LG1,0.27297,0.0019394123600876172,0.001953125,10,0.0938176301654541,0.12204953457446809,False,False,up
ADAM9,0.41963,0.0019485445829392916,0.005859375,10,0.0938176301654541,0.13723273026315788,False,False,up
