protein,fc_pre,p_pre,fc_post,p_post,fc_interaction,p_interaction,fdr_pre,fdr_post,fdr_interaction
ACAN,0.23047000000000004,0.011821390033130015,-0.021000000000000005,0.6459081611155819,-0.27613333333333334,0.00649809014576409,0.16229553232399993,0.8304937318851552,0.7636555539301958
ACE2,0.05802,0.28493355466240394,0.05797777777777776,0.5470933274462546,-0.017866666666666673,0.867654221658041,0.5744888256410132,0.7753329291246601,0.9938501124438283
ACOX1,-0.10932999999999997,0.6984744969686436,0.21830000000000005,0.22776074572868876,0.45449999999999996,0.1427162034393957,0.8743928126718273,0.49235069347019844,0.9471774407456163
ACP5,0.0378,0.5000443902445211,0.06113999999999999,0.1723805126295584,0.023340000000000003,0.6895411642170882,0.7378856948962345,0.42204495508803547,0.9626164392654134
ACTA2,-0.0663,0.44449829494918724,0.16805555555555554,0.06854505316430831,0.20834444444444442,0.09634212401879397,0.6972429207478441,0.2388310528487894,0.9443341999213253
ACY1,0.21714000000000003,0.023830042816104395,0.10041111111111109,0.07820979907082373,-0.12707777777777782,0.23089715612807357,0.20591960527563152,0.2605219837529253,0.9471774407456163
ADA2,0.09289,0.25640803999570067,0.12964,0.11816109813076334,0.03674999999999999,0.601069220279518,0.5458890010922961,0.33737347551815616,0.9619401148472417
ADAM15,0.10612999999999999,0.17428922457087634,0.22623333333333337,0.012096840495556925,0.05556666666666668,0.52491679674264,0.4477889452645188,0.10425158837055143,0.9519862693342023
ADAMTS13,0.08089999999999994,0.13237066935134187,0.09044000000000005,0.024109554580985144,0.009540000000000094,0.8640575905740363,0.3996968412684917,0.13359107511031038,0.9938501124438283
ADAMTS16,-0.11828999999999998,0.04474234541793799,0.2220111111111111,0.08556962171551735,0.3208,0.024736922760015663,0.24788089811044448,0.2769420010274237,0.8143181893514128
ADGRE5,-0.04812,0.47433300738336426,-0.010300000000000004,0.873512103328705,0.03781999999999999,0.5256720707638329,0.716566611971024,0.9456074279954809,0.9519862693342023
