Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),48/236,7.588124785038347e-25,2.2946489349955965e-21,0,0,8.154893617021276,452.9068309588002,CCL13;CXCL6;CD40;CXCL9;CCL11;ITGB2;CXCL1;F11R;CXCL3;AGER;CRHBP;PRDX5;CCL8;ADGRE5;CCL5;CCL4;LGALS9;CD14;CCL17;TNFRSF4;CCL16;AOC3;CCL24;CCL23;CCL22;TGFB1;VCAM1;CCL21;CCL20;IL10RB;F2R;IL18;AZU1;PPBP;HSPG2;SELE;TNFRSF1A;CXCL10;CXCL11;CD40LG;IL2RA;KIT;CHI3L1;XCL1;ADAM8;FOLR2;MGLL;TLR3,immune
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),45/244,1.5446500102630816e-21,2.33551081551778e-18,0,0,7.182554563864096,344.18434871562056,DDR1;NOTCH2;CCL13;SEMA7A;CCL11;NOTCH1;PDGFB;CXCL17;PDGFA;TREM2;AGER;CRKL;ICAM1;CCL8;CCL5;CCL4;TIMP3;SIRPA;CCN2;LGALS9;APOE;CCL17;GBP1;CCL16;PDGFRB;CCL24;CD74;CCL23;MAP2K1;CCL22;TGFB1;CCL21;ANGPT1;CCL20;NTRK3;ADIPOQ;F2R;FN1;TGFBR3;PTPRC;TNIP1;CHI3L1;XCL1;PTPN6;GAS6,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),38/179,1.3532044334622644e-20,1.3640300689299625e-17,0,0,8.487594465759795,388.3008810234081,NOTCH2;DDR1;CCL13;SEMA7A;NOTCH1;CCL11;CXCL17;PDGFB;PDGFA;TREM2;TNFRSF11A;AGER;CRKL;ICAM1;CCL8;CCL5;CCL4;CCN2;LGALS9;APOE;CCL17;CCL16;PDGFRB;CCL24;CD74;MAP2K1;CCL23;TGFB1;CCL22;ANGPT1;CCL21;CCL20;NTRK3;F2R;PTPRC;CHI3L1;XCL1;GAS6,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),49/310,2.420249449133256e-20,1.8297085835447413e-17,0,0,5.983529381664204,270.2630453716988,DDR1;CD40;CXCL17;TREM2;CRKL;ICAM1;ROBO1;CCN2;LGALS9;PDGFRB;MAP2K1;F2R;MMP8;GFRAL;KIT;ADAM9;CHI3L1;XCL1;ADAM8;GAS6;NOTCH2;CCL13;SEMA7A;CCL11;NOTCH1;PDGFB;PDGFA;AGER;CCL8;CCL5;CCL4;APOE;IGFBP6;CCL17;CCL16;CCL24;CD74;CCL23;CCL22;TGFB1;CCL21;ANGPT1;CCL20;EGF;NTRK3;EIF2AK2;VEGFA;SOD1;PTPRC,
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),24/77,1.2854120814559742e-17,7.774172268645732e-15,0,0,14.005079825834542,544.6977101837576,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL21;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL10;CXCL11;CCL8;CCL5;CCL4;PECAM1;XCL1;PPIB;CCL17;CCL16;CD177,
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),23/73,4.677735050644656e-17,2.3575784655249067e-14,0,0,14.206272,534.1719165368628,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL21;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL10;CXCL11;CCL8;CCL5;BSG;CCL4;XCL1;PPIB;CCL17;CCL16,
GO_Biological_Process_2023,Leukocyte Cell-Cell Adhesion (GO:0007159),16/31,2.350305240833669e-16,9.062294442678124e-14,0,0,32.63628691983122,1174.4760613953065,ITGB1;VCAM1;CLEC4M;SEMA4D;ITGB2;F11R;SELE;ICAM1;SELP;CD40LG;TNIP1;CD209;CCL5;PECAM1;JAM2;CD177,immune
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),22/70,2.39743239224289e-16,9.062294442678124e-14,0,0,14.133652822151223,508.3445703677152,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL21;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL10;CXCL11;CCL8;CCL5;CCL4;XCL1;PPIB;CCL17;CCL16,
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),58/525,2.760081918381706e-16,9.273875245762534e-14,0,0,3.975356585489784,142.4215270517889,ITGB1;DDR1;CD86;CD40;ECM1;FASLG;TREM2;PARK7;CASP8;TNFSF10;IL12B;TRIM25;ITGAV;LGALS9;PDGFRB;HGF;ADIPOQ;F2R;TNFRSF19;IL18;SHISA5;MMP8;TNFRSF1A;EEF1D;GFRAL;KIT;HCLS1;CHI3L1;ADAM8;GAS6;TLR3;ENG;HBEGF;PDGFB;PDGFA;AGER;CCL5;CCL4;IGFBP6;FIS1;CD74;TGFB1;CCL21;ANGPT1;SEMA4D;EGF;NTRK3;FN1;EIF2AK2;VEGFA;SOD1;SELP;PTPRC;AXL;CNTN1;PTPN6;HPSE;LTBR,
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),20/57,4.795886600098708e-16,1.4502761078698493e-13,0,0,16.62506455500086,586.4259252285167,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL21;CCL20;CXCL1;PPBP;CXCL3;CXCL10;CXCL11;CCL8;CCL5;CCL4;XCL1;CCL17;CCL16,immune
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),26/108,6.5359750911811885e-16,1.7967989705210832e-13,0,0,9.82315112540193,343.457048298697,CCL13;CD40;ASAH1;CCL11;TNFRSF11A;CRHBP;CASP8;CCL8;CASP3;CCL5;CCL4;CD58;CCL17;GBP1;CCL16;CCL24;CCL23;CCL22;CCL21;CCL20;ADIPOQ;SELE;ADAM9;CHI3L1;XCL1;TNFRSF21,
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),39/257,8.139941115134622e-16,2.0512651610139246e-13,0,0,5.620780042482036,195.29163365292632,CCL13;CXCL6;CXCL9;CCL11;PDGFB;CXCL1;IL1RAP;TNFRSF11A;CXCL3;LILRA3;CCL8;CCL5;CCL4;IL12B;CD300LF;CCL17;IL6R;CCL16;CCL24;CCL23;CCL22;CCL21;IL1R1;CCL20;IL18;PPBP;LILRB2;OSMR;TNFRSF1B;IL17RA;TNFRSF1A;CXCL10;CXCL11;IL2RA;KIT;XCL1;PTPN6;IL7R;IL18R1,immune
