Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),44/236,2.2609250279489014e-22,6.640336807085925e-19,0,0,7.801418439716312,388.8312610859385,CCL13;CXCL6;CD40;CXCL9;CCL11;ITGB2;CXCL1;F11R;CXCL3;AGER;CRHBP;IL1RL1;PRDX5;CCL8;ADGRE5;HYAL1;CCL5;CCL4;CCL19;CCL17;TNFRSF4;CCL16;AOC3;CCL24;CCL23;CCL22;TGFB1;VCAM1;CCL20;IL10RB;F2R;IL18;PPBP;HSPG2;SELE;TNFRSF1A;CXCL11;CD40LG;IL2RA;KIT;XCL1;ADAM8;MGLL;TLR3,immune
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),42/244,4.9221233017614506e-20,7.228138068636688e-17,0,0,7.049469964664311,313.40506680164594,DDR1;CCL13;SEMA7A;CCL11;NOTCH1;PDGFB;CXCL17;PDGFA;TREM2;AGER;EGFR;CRKL;ICAM1;CCL8;CCL5;CCL4;TIMP3;CCN2;APOE;CCL19;CCL17;GBP1;CCL16;PDGFRB;CCL24;CD74;CCL23;MAP2K1;CCL22;TGFB1;ANGPT1;CCL20;NTRK3;ADIPOQ;F2R;FN1;TGFBR3;PTPRC;TNIP1;XCL1;PTPN6;GAS6,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),35/179,9.908601451546742e-19,9.70052082106426e-16,0,0,8.164630599185573,338.47058738976665,DDR1;CCL13;SEMA7A;NOTCH1;CCL11;CXCL17;PDGFB;PDGFA;TREM2;AGER;EGFR;CRKL;ICAM1;CCL8;CCL5;CCL4;CCN2;APOE;CCL19;CCL17;CCL16;PDGFRB;CCL24;CD74;MAP2K1;CCL23;TGFB1;CCL22;ANGPT1;CCL20;NTRK3;F2R;PTPRC;XCL1;GAS6,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),45/310,2.3149599754377144e-18,1.6997593619651418e-15,0,0,5.769060625356078,234.2650483039749,DDR1;CCL13;CD40;SEMA7A;CCL11;NOTCH1;PDGFB;CXCL17;PDGFA;TREM2;AGER;EGFR;CRKL;ICAM1;ROBO1;CCL8;CCL5;CCL4;CCN2;APOE;CCL19;IGFBP6;CCL17;CCL16;PDGFRB;CCL24;CD74;CCL23;MAP2K1;CCL22;TGFB1;ANGPT1;CCL20;EGF;NTRK3;F2R;EIF2AK2;SOD1;PTPRC;GFRAL;KIT;ADAM9;XCL1;ADAM8;GAS6,
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),23/77,4.435348209981881e-17,2.6053235385433568e-14,0,0,14.079582146248812,530.1573795867564,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL11;CCL8;CCL5;CCL4;PECAM1;XCL1;CCL19;PPIB;CCL17;CCL16;CD177,
GO_Biological_Process_2023,Leukocyte Cell-Cell Adhesion (GO:0007159),16/31,8.622000514140794e-17,4.220469251671919e-14,0,0,34.913513513513514,1291.4379274858595,ITGB1;VCAM1;CLEC4M;SEMA4D;ITGB2;F11R;SELE;ICAM1;SELP;CD40LG;TNIP1;CD209;CCL5;PECAM1;JAM2;CD177,immune
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),22/73,1.7366374688301563e-16,7.286434637077384e-14,0,0,14.237502509536238,516.6705763881208,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL11;CCL8;CCL5;BSG;CCL4;XCL1;CCL19;PPIB;CCL17;CCL16,
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),21/70,9.41366833250207e-16,3.455992986569823e-13,0,0,14.122414212703822,488.6242165543601,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL20;ITGB2;CXCL1;PPBP;CXCL3;CXCL11;CCL8;CCL5;CCL4;XCL1;CCL19;PPIB;CCL17;CCL16,
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),25/108,1.4792551556010258e-15,4.827302657778014e-13,0,0,9.97592428031164,340.65025774745004,CCL13;CD40;ASAH1;CCL11;CRHBP;CASP8;CCL8;HYAL1;CASP3;CCL5;CCL4;CCL19;CD58;CCL17;GBP1;CCL16;CCL24;CCL23;CCL22;CCL20;ADIPOQ;SELE;ADAM9;XCL1;TNFRSF21,
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),19/57,2.4563256511682464e-15,7.214228437481139e-13,0,0,16.429541595925297,552.6915832389577,CXCL6;CCL13;CCL24;CXCL9;CCL23;CCL11;CCL22;CCL20;CXCL1;PPBP;CXCL3;CXCL11;CCL8;CCL5;CCL4;XCL1;CCL19;CCL17;CCL16,immune
