case,network,module,n_prot,power,r2,mt_r,mt_FDR,mmgs_r,mmgs_p,passes_topology,passes_fdr,passes_mt_r,passes_mmgs,selected
complete,full,black,828,11,0.824,0.497,0.0022,0.693,1.657065196791761e-119,True,True,False,True,False
complete,PR2/PT2,black,648,19,0.8,0.524,0.0356,0.617,3.5762791356884093e-69,False,True,True,True,False
complete,PT1/PT2,black,608,17,0.901,0.509,0.0436,0.437,1.1196831176948733e-29,True,True,True,False,False
complete,PR1/PR2,dimgrey,88,5,0.803,-0.492,0.1927,-0.279,0.008453016694955974,True,False,False,False,False
complete,PR1/PT1,black,339,5,0.853,0.371,0.3256,0.682,1.1142351252468772e-47,True,False,False,True,False
complete,PR1/PT1,lightgrey,197,5,0.853,0.324,0.3256,0.187,0.008383793242753628,True,False,False,False,False
complete,PR1/PT1,darkgrey,160,5,0.853,0.302,0.3256,0.195,0.013530364820347016,True,False,False,False,False
complete,PR1/PR2,gainsboro,65,5,0.803,0.355,0.4379,0.818,8.321996715096797e-17,True,False,False,True,False
complete,PR2/PT2,dimgrey,220,19,0.8,0.176,0.4573,0.332,4.6435429865138806e-07,False,False,False,False,False
complete,PT1/PT2,dimgrey,260,17,0.901,-0.16,0.5015,-0.258,2.5475582617225337e-05,True,False,False,False,False
complete,full,dimgrey,40,11,0.824,0.106,0.5153,0.336,0.033820274811124026,True,False,False,False,False
complete,PR1/PT1,dimgrey,164,5,0.853,0.15,0.6597,0.124,0.11411931830771124,True,False,False,False,False
complete,PR1/PR2,darkgrey,194,5,0.803,0.212,0.7217,0.29,4.067065533577114e-05,True,False,False,False,False
complete,PR1/PR2,black,271,5,0.803,0.176,0.7217,0.619,5.290920375727585e-30,True,False,False,True,False
complete,PR1/PR2,lightgrey,117,5,0.803,-0.153,0.7217,-0.02,0.8332148588333294,True,False,False,False,False
complete,PR1/PR2,snow,8,5,0.803,0.096,0.7217,-0.198,0.6388879139235419,True,False,False,False,False
complete,PR1/PR2,white,125,5,0.803,-0.085,0.7217,-0.138,0.12372176799652082,True,False,False,False,False
complete,PR1/PT1,gainsboro,8,5,0.853,0.018,0.9392,-0.196,0.6412054482525968,True,False,False,False,False
