Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),60/236,1.0637982181038348e-30,3.407345692586583e-27,0,0,8.432173295454545,581.952402051113,SERPINA3;CXCL6;CD40;ORM1;CXCL9;ITGB2;ADM;CXCL1;F11R;CXCL13;CXCL3;CRHBP;ADGRE5;HYAL1;LGALS9;TNFRSF4;F2R;IL18;HSPG2;TNFRSF1A;KIT;CHI3L1;XCL1;ADAM8;MGLL;TLR3;CCL14;CCL13;CCL11;AGER;IL1RL1;PRDX5;CCL8;CCL5;CCL4;CD14;CCL19;CCL18;CCL17;CCL16;CCL15;AOC3;CCL25;CCL24;CCL23;CCL22;TGFB1;VCAM1;CCL21;CCL20;IL10RB;AZU1;PPBP;SELE;CXCL10;CXCL11;CD40LG;IL2RA;SIGLEC1;FOLR2,immune
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),34/77,7.341481745835078e-27,1.1757383015954878e-23,0,0,19.04944057172984,1146.3240280428165,CCL14;CXCL6;CCL13;CXCL9;CCL11;PLA2G1B;ITGB2;CXCL1;UMOD;CXCL13;CXCL3;LGALS3;CCL8;CCL5;CCL4;CCL19;CCL18;CCL17;CCL16;CD177;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;PECAM1;XCL1;PRTN3;PPIB,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),46/179,5.2715741217754254e-24,4.584701846221196e-21,0,0,8.420610349402919,451.342299857531,NOTCH2;DDR1;CCL14;CCL13;SEMA7A;NOTCH1;CCL11;CXCL17;PDGFB;PDGFA;TREM2;TNFRSF11A;AGER;EGFR;CRKL;ICAM1;CCL8;CCL5;CCL4;CCN2;LGALS9;APOE;CCL19;CCL18;CCL17;CCL16;CCL15;PDGFRB;CCL25;CCL24;CD74;MAP2K1;CCL23;TGFB1;CCL22;ANGPT1;CCL21;CCL20;NTRK3;F2R;SERPINF2;PLA2G2A;PTPRC;CHI3L1;XCL1;GAS6,
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),31/73,5.725509642486664e-24,4.584701846221196e-21,0,0,17.716137898070144,948.1165124626066,CCL14;CXCL6;CCL13;CXCL9;CCL11;PLA2G1B;ITGB2;CXCL1;CXCL13;CXCL3;LGALS3;CCL8;CCL5;BSG;CCL4;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;XCL1;PPIB,
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),53/244,1.0148211455787746e-23,6.500944258577631e-21,0,0,6.796102009795643,359.81788622499164,DDR1;CXCL17;TREM2;CRKL;ICAM1;TIMP3;SIRPA;CCN2;LGALS9;PDGFRB;MAP2K1;SERPINF2;ADIPOQ;F2R;TGFBR3;CHI3L1;XCL1;GAS6;CCL14;NOTCH2;CCL13;SEMA7A;CCL11;NOTCH1;PDGFB;PDGFA;AGER;EGFR;CCL8;CCL5;CCL4;APOE;CCL19;CCL18;CCL17;GBP1;CCL16;CCL15;CCL25;CCL24;CD74;CCL23;CCL22;TGFB1;CCL21;ANGPT1;CCL20;NTRK3;PLA2G2A;FN1;PTPRC;TNIP1;PTPN6,
GO_Biological_Process_2023,Neutrophil Chemotaxis (GO:0030593),30/70,2.217606772849481e-23,1.1838324155728146e-20,0,0,17.981203007518797,937.9540059294094,CCL14;CXCL6;CCL13;CXCL9;CCL11;PLA2G1B;ITGB2;CXCL1;CXCL13;CXCL3;LGALS3;CCL8;CCL5;CCL4;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;XCL1;PPIB,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),59/310,3.721107198716607e-23,1.7026723367841848e-20,0,0,5.783570529326129,298.6950209343891,DDR1;CD40;CXCL17;TREM2;CRKL;ICAM1;ROBO1;CCN2;LGALS9;PDGFRB;MAP2K1;SERPINF2;F2R;MMP8;GFRAL;KIT;ADAM9;CHI3L1;XCL1;ADAM8;GAS6;CCL14;NOTCH2;CCL13;SEMA7A;CCL11;NOTCH1;PLA2G1B;PDGFB;PDGFA;AGER;EGFR;CCL8;CCL5;CCL4;APOE;CCL19;IGFBP6;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CD74;CCL23;CCL22;TGFB1;CCL21;ANGPT1;CCL20;GDF15;EGF;NTRK3;PLA2G2A;EIF2AK2;VEGFA;SOD1;PTPRC,
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),27/57,1.2980449307387076e-22,5.1970473914451004e-20,0,0,21.507865168539325,1083.9106486102226,CCL14;CXCL6;CCL13;CXCL9;CCL11;CXCL1;CXCL13;CXCL3;CCL8;CCL5;CCL4;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;TFF2;XCL1,immune
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),27/59,4.138384313507334e-22,1.4728049951293325e-19,0,0,20.161516853932586,992.6838672679684,CCL14;CXCL6;CCL13;CXCL9;CCL11;CXCL1;CXCL13;CXCL3;CCL8;CCL5;CCL4;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;TFF2;XCL1,immune
GO_Biological_Process_2023,Monocyte Chemotaxis (GO:0002548),23/42,2.4395082164197417e-21,7.813744817192434e-19,0,0,28.801503759398496,1366.991098120651,CCL14;CCL25;CCL13;CCL24;CCL23;CCL11;CCL22;CCL21;CCL20;PDGFB;TNFRSF11A;LGALS3;CCL8;CCL5;CCL4;XCL1;CCL19;CCL18;FOLR2;CCL17;IL6R;CCL16;CCL15,
