Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),72/525,3.23084891998625e-16,1.1288586126431957e-12,0,0,3.3826662827526635,120.65502659561824,ITGB1;CD40;ECM1;FLT1;FASLG;TREM2;PARK7;CX3CL1;EDA2R;IGF1R;MYDGF;CASP8;KDR;IL12B;TRIM25;ITGAV;IKBKG;TGM2;HGF;ADIPOQ;F2R;TNFRSF19;IL18;SHISA5;TRAF2;IRAK4;RHOC;TNFRSF1A;DOK2;EEF1D;GFRAL;KIT;HCLS1;TRIM58;ROR1;S100A4;GAPDH;TMEM106A;HBEGF;SRC;PDGFB;TXN;IRAK1;CCL5;ERBB2;HMOX1;IGFBP6;FADD;HEXIM1;LYN;FIS1;CD74;TGFB1;EGF;FN1;EIF2AK2;BMP6;SOD1;BMP4;SELP;GH1;MAVS;AXL;CLEC6A;LEP;CNTN1;CD27;PTPN6;HPSE;TEK;CC2D1A;FGFR2,
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),61/434,2.1124248659992343e-14,3.6904062409006616e-11,0,0,3.4520561639478347,108.69956924087654,ITGB1;ACVRL1;ROBO4;FLT1;SERPINE2;TNC;VSIR;CX3CL1;IGF1R;FGF5;CDH1;MDK;PLAU;AKT2;DAG1;KDR;TNR;TMSB10;EPHA4;EDN1;MMP7;HGF;ADIPOQ;F2R;RHOC;RNF41;SFRP1;KIT;NUMB;PECAM1;ADAM9;HBEGF;EPHA2;CSF1R;GRN;SEMA7A;CCL11;SRC;PDGFB;NEXN;SEMA3F;ERBB4;CCL5;NTF3;STX4;CGA;PLXNA4;ARSB;CCL24;CD74;ACE;TGFB1;EGF;SEMA4C;LAMB1;SOD2;CXCL12;PLXNB3;CNTN1;EPPK1;RECK,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),49/310,9.328126765492505e-14,1.0864158306210268e-10,0,0,3.933319664953848,118.01200776376147,CD40;FLT1;CXCL17;TREM2;CX3CL1;CRKL;IGF1R;MYDGF;KDR;EDN1;MAP2K1;F2R;DOK2;GFRAL;KIT;ERP29;ADAM9;XCL1;ROR1;TMEM106A;NOTCH2;CCL13;CSF1R;SEMA7A;CCL11;PDGFB;IRAK1;ERBB4;CCL5;NTF3;ERBB2;CCL2;APOE;IGFBP6;CCL16;CCL24;CD74;CCL23;TGFB1;CCL20;EGF;SEMA4C;EIF2AK2;SOD1;BMP4;GH1;LEP;TEK;FGFR2,
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),35/172,1.8619632554263465e-13,1.6264249036149134e-10,0,0,5.304950844103296,155.49858526762574,ITGB1;CD84;ROBO4;ITGB2;NEXN;UMOD;CELSR2;PKD1;PTPRF;CDH6;IGSF21;ALCAM;CDH3;SLITRK2;CDH1;SLITRK1;HMCN2;CDH23;SCARF2;SCARF1;CD164;VCAM1;DSCAM;CRTAM;L1CAM;SELE;CEACAM19;TGFBR2;SELP;CD6;PLXNB3;PECAM1;ESAM;DSG2;NECTIN2,
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),30/130,3.154546058021623e-13,2.20439678534551e-10,0,0,6.20764192139738,178.6854928270958,CSF1R;CD40;SRC;PDGFB;TREM2;ERBB4;CCL5;NTF3;ABL1;IL12B;TNFRSF14;PIBF1;LYN;EPHA4;CD74;PTPN1;ACE;TGFB1;HGF;IL18;BMP6;TNFRSF1A;GH1;ARL2BP;BANK1;CLEC6A;KIT;PECAM1;HCLS1;ITGA5,
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),61/483,2.5111333016048042e-12,1.3142103021647935e-09,0,0,3.0432216777786705,81.28532426624311,CDKN1A;MEGF10;REG1B;REG1A;AKR1B1;PRL;CX3CL1;CRKL;IGF1R;FGF5;TCL1A;MDK;AKT2;RBPMS2;KDR;CCN4;ITGAV;TIMP1;EPHA4;EDN1;CR1;F2R;IL18;FLT3LG;PGF;TGFBR2;TGFBR3;SFRP1;HCLS1;STAMBP;FXN;HBEGF;CSF1R;GRN;PDGFB;TNFRSF11A;CSF2RA;DLL1;ERBB4;CCL5;NTF3;ERBB2;HMOX1;STX4;STX3;CGA;LYN;CD74;TGFB1;EGF;TNFSF13;FN1;LAMB1;BMP6;BMP4;DNAJA2;PTPN6;HPSE;FOLR2;FGFR2;LGMN,
GO_Biological_Process_2023,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),24/90,2.632934205825288e-12,1.3142103021647935e-09,0,0,7.488858213370144,199.6748440897963,FLT1;SRC;EGF;HGF;F2R;IL18;PDGFB;FN1;TREM2;IGF1R;CRNN;SELP;MYDGF;GH1;PIK3IP1;CCL5;LEP;KIT;KDR;HCLS1;ROR1;PTPN6;STAMBP;TEK,
GO_Biological_Process_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),21/69,3.710302671964758e-12,1.4836386135435295e-09,0,0,8.989324324324324,236.5981861410828,FLT1;SRC;EGF;HGF;F2R;IL18;PDGFB;FN1;TREM2;IGF1R;SELP;MYDGF;GH1;CCL5;LEP;KIT;KDR;HCLS1;ROR1;PTPN6;TEK,
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),38/221,4.235352712381698e-12,1.4836386135435295e-09,0,0,4.315603861245516,113.01511134351908,ITGB1;CSF1R;GRN;SEMA7A;CCL11;FLT1;PDGFB;SEMA3F;VSIR;IGF1R;PLAU;MDK;AKT2;CCL5;NTF3;KDR;STX4;CGA;EPHA4;CCL24;EDN1;TGFB1;MMP7;EGF;HGF;F2R;SEMA4C;LAMB1;RHOC;SOD2;CXCL12;KIT;CNTN1;NUMB;PECAM1;ADAM9;EPHA2;HBEGF,
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),26/108,4.246246747405637e-12,1.4836386135435295e-09,0,0,6.538600212089078,171.21315266859307,CCL13;CD40;ASAH1;CCL11;TNFRSF11A;CX3CL1;CRHBP;TCL1A;CASP8;CASP3;CCL5;CCL2;CD58;GBP1;CCL16;IGBP1;CCL24;CCL23;CCL20;ADIPOQ;ERBIN;SELE;SFRP1;ADAM9;XCL1;TNFRSF21,
