Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Regulation Of Kinase Activity (GO:0043549),15/85,1.29109500876675e-13,2.138053334517738e-10,0,0,18.180110837438423,539.5514293564354,DDR1;CD74;NTRK3;EGFR;ERBB4;AXL;ERBB2;TYRO3;ROR1;TEK;EPHA1;FGFR4;EPHB4;FGFR2;EPHA2,
GO_Biological_Process_2023,Positive Regulation Of Kinase Activity (GO:0033674),15/104,2.7822183594322227e-12,2.3036768016098803e-09,0,0,14.285160790391322,380.0963089425874,DDR1;CD74;NTRK3;EGFR;ERBB4;AXL;ERBB2;TYRO3;ROR1;TEK;EPHA1;FGFR4;EPHB4;FGFR2;EPHA2,
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),20/244,2.8014197379466868e-11,1.5463836953465714e-08,0,0,7.681324732536186,186.64320714215808,DDR1;CD74;CCL23;SEMA7A;CCL11;PSCA;NTRK3;FN1;CXCL17;EGFR;TGFBR3;ERBB4;ERBB2;CCL2;ROR1;TEK;FGFR4;FGFR2;EPHA2;CCL26,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),22/310,4.690462580682314e-11,1.9418515084024783e-08,0,0,6.608487654320988,157.16903284763652,DDR1;CD74;CCL23;SEMA7A;CCL11;NTRK3;SEMA4C;CXCL17;EGFR;ROBO1;BMP4;ERBB4;KIT;GFRAL;ERBB2;CCL2;ROR1;TEK;IGFBP6;FGFR4;FGFR2;CCL26,
GO_Biological_Process_2023,Positive Regulation Of Phosphorylation (GO:0042327),19/231,8.403726633954902e-11,2.7833142611658642e-08,0,0,7.6812106918239,178.20225046328142,DDR1;CD74;NTRK3;EGFR;PGF;BMP4;AXL;ERBB4;ERBB2;TYRO3;FAS;ROR1;TEK;EPHA1;FGFR4;EPHB4;FGFR2;EPHA2;ENG,
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),15/143,2.909186242481197e-10,8.029354029248106e-08,0,0,9.91295123922414,217.66836056313352,DDR1;CD74;NTRK3;EGFR;ERBB4;AXL;ERBB2;TYRO3;ROR1;TEK;EPHA1;FGFR4;EPHB4;FGFR2;EPHA2,
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),20/284,4.2287465734688517e-10,1.00040061795206e-07,0,0,6.504138299292484,140.384965269854,DDR1;SORT1;NTRK3;GFRA2;EFNA4;EGFR;PGF;AXL;ERBB4;KIT;GFRAL;ERBB2;TYRO3;ROR1;TEK;EPHA1;FGFR4;FGFR2;EPHB4;EPHA2,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),16/179,8.016120089764146e-10,1.6593368585811786e-07,0,0,8.324436299896423,174.35029370864171,DDR1;CD74;SEMA7A;CCL23;CCL11;NTRK3;CXCL17;TNFRSF11A;EGFR;ERBB4;CCL2;ROR1;TEK;FGFR4;FGFR2;CCL26,
GO_Biological_Process_2023,Heterotypic Cell-Cell Adhesion (GO:0034113),8/29,1.6574852016731134e-09,3.049772771078529e-07,0,0,31.451683602311217,635.8890169386459,ITGB1;VCAM1;RNASE10;ITGB7;DSG2;CD58;ITGA5;DSC2,
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),15/172,3.856677925073302e-09,6.386658643921387e-07,0,0,8.069953876564902,156.34292592770805,ITGB1;VCAM1;L1CAM;PKD1;ROBO1;TGFBR2;CDH6;IGSF21;CDH3;SLITRK2;PLXNB2;DSG2;CNTN4;CDH15;NECTIN4,
