Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),38/176,8.031934726444858e-20,2.17906389128449e-16,0,0,8.033287009463304,353.20978382261694,VIT;COL18A1;COL15A1;DPT;DMP1;CAPG;FURIN;PLG;CTSV;NID1;KLK7;ADAMTS16;ADAMTS15;ADAMTS13;FLRT2;ADAMTSL4;PRSS2;POSTN;MMP7;MIA;COL24A1;APLP1;SERPINF2;MMP8;COL1A1;COL3A1;ADAM15;SPINT1;COL5A1;COL4A1;SMOC1;COL9A1;ADAM8;TGFBI;LCP1;GAS6;MATN3;MATN2,
GO_Biological_Process_2023,Proteolysis (GO:0006508),50/330,1.2491998062321545e-18,1.6945395371539173e-15,0,0,5.267165005537098,217.13376021070783,RET;FCN1;CPM;TINAGL1;CPQ;PLAT;CTSV;PEPD;PRSS22;CNDP1;CTSL;DDI2;CTSF;CTSE;GGT1;PRSS2;CTSD;CTSC;CPA2;CPA1;MMP7;MME;HGF;MMP8;F9;ADAM15;ADAM8;PRTN3;LPA;THOP1;CPB2;CFH;TMPRSS5;FURIN;PLG;ADAMTS16;ADAMTS15;ADAMTS13;F12;GZMA;KLK13;KLK14;GZMB;AZU1;PGA4;PROC;CPE;REN;TPP1;KLKB1,
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),23/77,8.040151196458824e-16,7.270976731997597e-13,0,0,12.201636904761903,424.0912396695838,CD86;CR1;TFRC;IL15;CD70;CD80;SFTPD;PLA2G2A;LILRB1;PDCD1LG2;LILRB2;TNFRSF1B;LILRB4;LGALS3;GPNMB;CD209;LEP;TNFSF8;VSIG4;CCL19;CLC;IL6ST;ZP3,immune
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),41/310,1.910594599466677e-13,1.1532051020203515e-10,0,0,4.436388026783988,129.92491023765666,RET;CCL14;NOTCH2;NOTCH1;FLT1;PLA2G1B;FLT4;TGFA;CX3CL1;ICAM1;CCL8;GPNMB;BMPER;THPO;DDT;NTF3;CCL4;S100A12;APOE;CCL19;CCL18;FGF21;CCL25;CCL24;PDGFRA;FGA;NTRK2;CCL21;SERPINF2;PLA2G2A;MMP8;VEGFA;MARCO;GH1;NELL1;CD4;FGF19;LEP;CHI3L1;ADAM8;GAS6,
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),37/257,2.1253319241068042e-13,1.1532051020203515e-10,0,0,4.878039513677812,142.33962334948788,CCL14;CSF3;CXCL9;CSF3R;CSF2RB;IL1RAP;LILRA2;LILRA3;CSF2RA;CX3CL1;IL1RL1;IL18RAP;CCL8;CCL4;LEPR;CCL19;CCL18;IL13RA1;CCL25;CCL24;IL4R;CCL21;IL1R1;IL15;LILRB1;LIFR;LILRB2;OSMR;TNFRSF1B;LILRB4;CXCL10;CEACAM1;CD4;IL2RA;LEP;IL6ST;IL18R1,immune
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),24/109,3.324972947482942e-13,1.5034419344202038e-10,0,0,8.08766546857193,232.37597429320056,VIT;POSTN;COL15A1;MMP7;MIA;COL24A1;APLP1;DMP1;FURIN;MMP8;ADAMTS16;COL1A1;ADAMTS15;COL3A1;ADAMTS13;SPINT1;COL5A1;COL4A1;ADAMTSL4;SMOC1;COL9A1;TGFBI;MATN3;MATN2,
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),24/110,4.115891350797904e-13,1.5952018906735306e-10,0,0,7.993206945551589,227.95627687783744,VIT;POSTN;COL15A1;MMP7;MIA;COL24A1;APLP1;DMP1;FURIN;MMP8;ADAMTS16;COL1A1;ADAMTS15;COL3A1;ADAMTS13;SPINT1;COL5A1;COL4A1;ADAMTSL4;SMOC1;COL9A1;TGFBI;MATN3;MATN2,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),30/179,7.659303862005625e-13,2.5974614222026565e-10,0,0,5.799868799515568,161.80291344201422,NOTCH2;CCL14;NOTCH1;FLT4;CX3CL1;ICAM1;CCL8;BMPER;THPO;GPNMB;DDT;CCL4;APOE;CCL19;CCL18;FGF21;CCL25;PDGFRA;FGA;CCL24;NTRK2;CCL21;SERPINF2;PLA2G2A;MARCO;NELL1;CD4;FGF19;CHI3L1;GAS6,
GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),13/30,6.695266838109673e-12,2.0182509924212824e-09,0,0,21.627048473348285,556.455745023495,FGA;PDGFRA;CPB2;F12;F11;SERPINF2;PLAT;PLG;F2;C1QTNF1;PROC;APOE;KLKB1,
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),43/377,7.846822838114822e-12,2.1288430359805513e-09,0,0,3.745972778369641,95.78794176869668,CSF3;BMP10;TFRC;CD80;FLT4;CX3CL1;THBS4;C3;TCL1A;GPNMB;THPO;NTF3;LEPR;RSPO1;CCL19;NOS1;LEFTY2;FGF23;FGF21;NTRK2;CCL21;IL15;HGF;GDF2;VEGFB;PLAUR;VEGFD;AZU1;F2;INHBC;VEGFA;EFNA1;MARCO;GH1;NELL1;CD4;CLEC6A;FGF19;LEP;CHI3L1;CSPG4;FAM20A;GAS6,
