Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),52/525,1.4169952051192298e-11,3.228061483930054e-08,0,0,3.1992053092660546,79.91582053434779,CD40;FLT1;FASLG;PARK7;CX3CL1;IGF1R;MYDGF;CASP8;IL12B;TNFSF11;TRIM25;ITGAV;IKBKG;TGM2;ADIPOQ;F2R;IL18;TRAF2;IRAK4;RHOC;EDAR;DOK2;EEF1D;HCLS1;TRIM58;S100A4;GAPDH;SRC;TXN;IRAK1;CCL5;IGFBP6;FADD;HEXIM1;LYN;FIS1;CD74;EGF;FN1;EIF2AK2;BMP6;SOD1;SELP;GH1;MAVS;CLEC6A;CNTN1;CD27;PTPN6;HPSE;TEK;CC2D1A,
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),24/130,2.0732572151124302e-11,3.228061483930054e-08,0,0,6.438574423480084,158.38452115706076,LYN;CSF1R;CD74;PTPN1;CD40;ACE;IL15;SRC;IL18;BMP6;GH1;ARL2BP;BANK1;ERBB4;CLEC6A;CCL5;NTF3;ABL1;PECAM1;IL12B;HCLS1;ITGA5;IL6R;PIBF1,
GO_Biological_Process_2023,Response To Cytokine (GO:0034097),21/125,2.2577784883551184e-09,1.7189836262078287e-06,0,0,5.717282164737917,113.82471013931168,IGBP1;CD274;CSF1R;CD74;CD40;IL1R1;CALCOCO2;SRC;ADIPOQ;EIF2AK2;IFNLR1;OSMR;SELE;SELP;COL3A1;CASP8;IRAK1;CASP3;ADAM9;HCLS1;IL6R,immune
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),35/320,2.5520176179790797e-09,1.7189836262078287e-06,0,0,3.517015430141619,69.58900928094194,CD274;CSF1R;CD40;PLA2G1B;CXCL17;PARK7;LY9;MYDGF;IRAK1;MDK;IL12B;FADD;IL6R;PIBF1;CD74;IL1R1;IL15;ADIPOQ;F2R;IL18;EIF2AK2;TRAF2;PRG3;SOD1;MAVS;CLEC6A;CD28;CNTN1;PAEP;XCL1;HPSE;CD46;GAPDH;CD244;HSPA1A,immune
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),42/434,2.7600893163259933e-09,1.7189836262078287e-06,0,0,3.0836594911937376,60.77276987668098,CSF1R;ROBO4;CCL11;FLT1;TNXB;SRC;TNC;NEXN;SEMA3F;PTPRK;VSIR;CX3CL1;IGF1R;FGF5;CDH5;CDH1;MDK;ERBB4;AKT2;CCL5;NTF3;DAG1;STX4;TMSB10;PLXNA4;CD74;EDN1;ACE;EGF;ADIPOQ;F2R;RHOC;RNF41;SFRP1;CXCL12;PLXNB3;NUMB;PECAM1;CNTN1;ADAM9;EPPK1;EPHA1,
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),34/310,4.021285921447703e-09,2.087047393231358e-06,0,0,3.5242998801351204,68.1305814863347,CCL13;CSF1R;CD40;CCL11;FLT1;PLA2G1B;CXCL17;CX3CL1;CRKL;ICAM1;IGF1R;MYDGF;IRAK1;ERBB4;CCL5;NTF3;TNFSF11;CCL2;APOE;IGFBP6;CD74;EDN1;MAP2K1;EGF;F2R;EIF2AK2;SOD1;MARCO;GH1;DOK2;ERP29;ADAM9;XCL1;TEK,
GO_Biological_Process_2023,Regulation Of Cell Adhesion (GO:0030155),22/144,5.907713463521718e-09,2.628088532200947e-06,0,0,5.108579315688791,96.79228791747964,LYN;PPP1R12A;TNXB;DSCAM;SRC;TNC;IL18;ADAM22;CELSR2;ATXN3;ADGRG1;CXCL12;MDK;CCL5;PLXNB3;IL12B;ITGAV;STX4;STX3;P4HB;PLXNA4;TGM2,
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),59/766,1.1470264875309082e-08,4.46480060271406e-06,0,0,2.4245182107496466,44.32869764947208,CDKN1A;CXCL9;REG1B;PDCD5;REG1A;AKR1B1;PRL;PTPRK;PKD2;CX3CL1;CRKL;PPP1R9B;IGF1R;FGF5;HHEX;AKT2;ITGAV;IL6R;MAP2K1;EDN1;CR1;IL15;F2R;OSMR;KLHL41;RNF41;SFRP1;DDAH1;HCLS1;STAMBP;EPHA1;FXN;CSF1R;TNXB;PLA2G1B;UMOD;DNAJB2;ADGRG1;FRZB;ERBB4;NTF3;STX4;STX3;IGFBP6;LYN;CDKN2D;STAT5B;EGF;FN1;EIF2AK2;IFNLR1;BMP6;FABP3;CXCL11;DNAJA2;PTPN6;MELTF;IL7R;HSPA1A,
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),37/377,1.6996877980915607e-08,5.8809197813968e-06,0,0,3.1169228718677804,55.76248626378987,CSF1R;CD40;CDKN1A;TNXB;MSTN;SRC;TXN;PARK7;STK4;CX3CL1;CRKL;FGF5;MYDGF;ERBB4;AKT2;NTF3;SNX9;IL6R;MAP3K5;LYN;CD74;IL15;EGF;ADIPOQ;AXIN1;BMP6;MARCO;GH1;MAVS;BANK1;CLEC6A;ERP29;PECAM1;HCLS1;ITGA5;TEK;EIF4G1,
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),43/483,2.13801759474991e-08,6.65778679005122e-06,0,0,2.8098080654102,49.62346306345837,CSF1R;CDKN1A;TNXB;PLA2G1B;REG1B;REG1A;AKR1B1;PRL;CX3CL1;CRKL;IGF1R;FGF5;MDK;ERBB4;AKT2;CCL5;NTF3;RBPMS2;STX4;ITGAV;STX3;IL6R;LYN;CD74;EDN1;CR1;IL15;EGF;F2R;FN1;IL18;OSMR;BMP6;TGFBR3;SFRP1;DNAJA2;HCLS1;PTPN6;STAMBP;HPSE;EPHA1;IL7R;FXN,
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),15/77,5.756476613287146e-08,1.6296061976160157e-05,0,0,6.804966044142614,113.44120077691316,CCL13;CXCL9;EDN1;CCL11;PLA2G1B;UMOD;IRAK4;CXCL3;CX3CL1;CXCL11;CCL5;PECAM1;XCL1;CCL2;PPIB,
GO_Biological_Process_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),14/69,9.295648577287037e-08,2.412220805805986e-05,0,0,7.151798274717983,115.79572669722324,FLT1;SRC;EGF;F2R;IL18;FN1;IGF1R;SELP;MYDGF;GH1;CCL5;HCLS1;PTPN6;TEK,
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),28/257,1.091819698128165e-07,2.6153281076700813e-05,0,0,3.475331741063003,55.71043629072281,CCL13;CSF1R;CXCL9;CCL11;SRC;CXCL3;CX3CL1;IRAK1;CCL5;IL12B;TNFSF11;CCL2;CD300LF;IL6R;LYN;STAT5B;IL1R1;IL15;IL18;TRAF2;IRAK4;OSMR;CXCL11;CXCL12;XCL1;PTPN6;P4HB;IL7R,immune
GO_Biological_Process_2023,Positive Regulation Of Phosphorylation (GO:0042327),26/231,1.6262340065152573e-07,3.617209068777508e-05,0,0,3.5987098177073897,56.25441553643471,CSF1R;CD40;CDKN1A;FLT1;AKR1B1;STK4;CRKL;IGF1R;FGF5;MYDGF;ERBB4;AKT2;CCL5;LYN;CD74;DSCAM;EGF;ADIPOQ;AXIN1;MARCO;MAVS;TYRO3;ERP29;PECAM1;TEK;EPHA1,
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),17/108,2.0207299381315201e-07,4.195035351561034e-05,0,0,5.261996068447681,81.11175849760603,IGBP1;CCL13;CD40;CCL11;ADIPOQ;ERBIN;SELE;CX3CL1;CRHBP;SFRP1;CASP8;CASP3;CCL5;ADAM9;XCL1;CCL2;GBP1,
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),12/55,3.339566302100646e-07,6.499630915463382e-05,0,0,7.822890220371687,116.65693147252588,LYN;CSF1R;GH1;CD40;IL15;ERBB4;CCL5;IL18;IL12B;HCLS1;IL6R;PIBF1,
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),46/594,4.274051451445605e-07,7.636977187587736e-05,0,0,2.4106538044511017,35.353524019750935,CSF1R;TNXB;PLA2G1B;REG1B;REG1A;AKR1B1;PRL;DNPH1;CX3CL1;CRKL;IGF1R;FGF5;ADGRG1;MDK;ERBB4;AKT2;CCL5;NTF3;IL12B;STX4;ITGAV;STX3;IL6R;TGM2;LYN;EDN1;CR1;IL15;EGF;F2R;FN1;OSMR;SIRT2;BMP6;SFRP1;CXCL12;DNAJA2;HCLS1;PTPN6;STAMBP;P4HB;EPHA1;IL7R;FXN;HDGFL2;EIF4G1,
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),26/244,4.773096528292389e-07,7.636977187587736e-05,0,0,3.381804054146162,49.22249750510391,CCL13;CSF1R;CCL11;PSCA;CXCL17;CX3CL1;CRKL;ICAM1;ERBB4;CCL5;CCL2;APOE;GBP1;LYN;CD74;PTPN1;MAP2K1;ADIPOQ;F2R;FN1;TGFBR3;MARCO;TNIP1;XCL1;PTPN6;TEK,
GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),15/90,4.904930756318392e-07,7.636977187587736e-05,0,0,5.621637426900585,81.67033157354798,CD74;IL15;SRC;BMP6;GH1;SFRP1;BANK1;CLEC6A;NTF3;PECAM1;IL12B;HCLS1;PTPN6;ITGA5;IL6R,
GO_Biological_Process_2023,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),15/90,4.904930756318392e-07,7.636977187587736e-05,0,0,5.621637426900585,81.67033157354798,FLT1;SRC;EGF;F2R;IL18;FN1;IGF1R;SELP;MYDGF;GH1;CCL5;HCLS1;PTPN6;STAMBP;TEK,
GO_Biological_Process_2023,Positive Regulation Of MAP Kinase Activity (GO:0043406),15/91,5.686029777706628e-07,8.431569870370685e-05,0,0,5.547379963065558,79.771786524373,PTPN1;CD40;EDN1;FLT1;PLA2G1B;EGF;TRAF2;ERN1;GH1;IRAK1;NTF3;ERP29;TNFSF11;ADAM9;MAP3K5,
GO_Biological_Process_2023,Proteolysis (GO:0006508),31/330,6.432538158423926e-07,9.104965375150955e-05,0,0,2.9492620110948677,42.04682173238759,FCN2;CPM;CFH;CPQ;CPXM2;ADAM22;HTRA2;PLAT;ECE1;ADAMTS15;CASP7;CASP8;CASP3;DDI2;ADAM23;LONP1;TBL1X;TPSAB1;HGFAC;USP25;ACE;GZMA;KLK14;GZMB;MMP12;F9;CTRL;CLPP;CNTN1;CTRC;METAP2,
GO_Biological_Process_2023,Leukocyte Cell-Cell Adhesion (GO:0007159),9/31,7.468281391406773e-07,0.00010111403588191606,0,0,11.430237154150198,161.25127906673734,SELP;VCAM1;TNIP1;CCL5;PECAM1;UMOD;F11R;SELE;ICAM1,immune
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),23/204,8.107859015208275e-07,0.00010519947072232736,0,0,3.5941024551309293,50.40822790832315,LYN;CD74;CSF1R;MAP2K1;FLT1;EGF;F2R;FN1;EIF2AK2;PEBP1;STK4;CX3CL1;IGF1R;RNF41;SOD1;TGFBR3;MYDGF;DOK2;GRAP2;DAG1;PTPN6;IGFBP6;TEK,
GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),21/175,8.732641871834644e-07,0.00010877378715557232,0,0,3.8509654062751406,53.72492508154537,CD74;CD40;F2R;FASLG;TRAF2;IRAK4;RHOC;CX3CL1;EDAR;MAVS;CASP8;IRAK1;EEF1D;CLEC6A;TRIM25;TRIM58;S100A4;FADD;IKBKG;GAPDH;CC2D1A,
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),39/482,1.122235074014533e-06,0.00013440923155697137,0,0,2.5154319720911142,34.46189157142923,SRC;GLO1;HSPB1;PARK7;TRIAP1;CX3CL1;IGF1R;MYDGF;PRDX5;DNAJB6;BAG3;MDK;ERBB4;AKT2;NTF3;CCL2;APOE;TXNDC5;CDKN2D;IGBP1;CD74;DFFA;F2R;SERPINB9;SMAD5;SOD1;SFRP1;CAT;TYRO3;CD28;TAX1BP1;HCLS1;CD27;ANGPTL4;CIAPIN1;ITGA5;TEK;FXN;HSPA1A,
GO_Biological_Process_2023,Monocyte Chemotaxis (GO:0002548),10/42,1.3623535457113796e-06,0.0001516275018204088,0,0,8.739568214804065,118.03920226169156,CCL13;CALCA;CCL11;FLT1;CCL5;CCL2;TNFSF11;XCL1;IL6R;CX3CL1,
GO_Biological_Process_2023,Response To Interleukin-1 (GO:0070555),14/85,1.3633815192586535e-06,0.0001516275018204088,0,0,5.535519687467873,74.76019658137152,IGBP1;CCL13;CD40;CCL11;IL1R1;SRC;SELE;CX3CL1;SFRP1;IRAK1;CCL5;XCL1;CCL2;GBP1,immune
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),50/705,1.8028970665057512e-06,0.0001935938436241003,0,0,2.193156823768805,29.00694591146688,PDCD5;HSPB1;FASLG;PARK7;TRIAP1;CX3CL1;IGF1R;MYDGF;CASP8;ADAMTSL4;AKT2;CASP3;MAP3K5;TGM2;DFFA;SERPINB9;TRAF2;SFRP1;PLSCR3;AKT1S1;CAT;TAX1BP1;ANGPTL4;FXN;SRC;DIABLO;GLO1;HTRA2;STK4;PRDX5;PNMA1;FRZB;BAG3;ERBB4;NTF3;ABL1;HS1BP3;FADD;TXNDC5;CD74;CRADD;GZMA;SMAD5;SOD1;CD28;CD27;PTPN6;TEK;CIAPIN1;HSPA1A,
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),24/232,2.216757380817981e-06,0.0002231454685402792,0,0,3.263760683760684,42.492418216204726,CD74;CD40;F2R;OTUD7B;HSPB1;FASLG;TRAF2;IRAK4;RHOC;CX3CL1;EDAR;MAVS;CASP8;IRAK1;TNIP1;EEF1D;CLEC6A;TRIM25;TRIM58;S100A4;FADD;IKBKG;GAPDH;CC2D1A,
GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),12/65,2.2268893397319866e-06,0.0002231454685402792,0,0,6.34357749031886,82.56105751621413,LYN;CSF1R;GH1;CD40;IL15;ERBB4;CCL5;IL18;IL12B;HCLS1;IL6R;PIBF1,
GO_Biological_Process_2023,Regulation Of Protein Phosphorylation (GO:0001932),26/265,2.293081243830743e-06,0.0002231454685402792,0,0,3.08126356102383,40.01209961618701,CSF1R;CD40;CDKN1A;HSPB1;PARK7;STK4;CRKL;FGF5;MYDGF;CDH5;ERBB4;AKT2;LYN;CD74;ADIPOQ;FN1;AXIN1;SORD;SOD1;MARCO;OCLN;MAVS;IMPACT;ERP29;PECAM1;TEK,
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction (GO:0009968),26/267,2.6366010100897477e-06,0.0002487992589521052,0,0,3.055372303366976,39.24937361420277,LRPAP1;GPI;INPPL1;CX3CL1;CRHBP;HHEX;FRZB;GPC1;CCL5;IL12B;BRAP;LYN;PTPN1;EGFL7;MPIG6B;ADIPOQ;SORD;KLK14;WWP2;SMAD5;DKK3;DKK4;SFRP1;BPIFB1;CILP;TYRO3,
GO_Biological_Process_2023,Peptidyl-Tyrosine Phosphorylation (GO:0018108),12/67,3.110435031001082e-06,0.00028029379021637897,0,0,6.112266772528781,77.50811440797183,LYN;CSF1R;FLT1;IL15;SRC;ERBB4;ABL1;PTPN6;TEK;EPHA1;PIBF1;IGF1R,
GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),16/117,3.150379787274651e-06,0.00028029379021637897,0,0,4.453271095777221,56.41398277583935,CSF1R;MAP2K1;CD40;EDN1;FLT1;PLA2G1B;SRC;EGF;ADIPOQ;PKD2;GH1;IRAK1;NTF3;ERP29;TNFSF11;ADAM9,
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),11/57,3.74268014726224e-06,0.0003237418327381838,0,0,6.692524014155713,83.62782978750433,LYN;CCL13;CXCL9;CXCL11;CCL11;CXCL12;CCL5;XCL1;CCL2;CXCL3;CX3CL1,immune
