case,network,module,n_prot,power,r2,mt_r,mt_FDR,mmgs_r,mmgs_p,passes_topology,passes_fdr,passes_mt_r,passes_mmgs,selected
impute,PT1/PT2,dimgrey,127,13,0.83,0.554,0.0278,0.837,1.741895023561406e-34,True,True,True,True,True
impute,PT1/PT2,lightgrey,695,13,0.83,0.513,0.0278,0.666,2.792569832583646e-90,True,True,True,True,True
impute,PR2/PT2,black,946,15,0.82,0.556,0.0437,0.762,1.7247060599333488e-180,True,True,True,True,True
impute,full,black,699,11,0.852,0.485,0.0045,0.75,4.1037838548708964e-127,True,True,False,True,False
impute,PT1/PT2,darkgrey,247,13,0.83,0.528,0.0278,0.162,0.010667717427544661,True,True,True,False,False
impute,full,silver,896,11,0.852,0.318,0.0686,0.511,7.895039416684715e-61,True,False,False,False,False
impute,PR1/PT1,gainsboro,95,6,0.809,0.513,0.1043,0.706,1.3492368554925655e-15,True,False,True,True,False
impute,PR1/PT1,black,927,6,0.809,0.415,0.1728,0.604,2.623541027770434e-93,True,False,False,True,False
impute,PT1/PT2,black,638,13,0.83,0.316,0.1742,0.626,1.4080421418690388e-70,True,False,False,True,False
impute,full,darkgrey,112,11,0.852,0.169,0.2977,0.102,0.2827655838823049,True,False,False,False,False
impute,PR1/PT1,silver,288,6,0.809,0.303,0.3247,0.379,2.7566627860554338e-11,True,False,False,False,False
impute,PR2/PT2,silver,583,15,0.82,0.295,0.4147,0.521,6.354137005027164e-42,True,False,False,False,False
impute,PR2/PT2,dimgrey,159,15,0.82,0.182,0.5898,-0.064,0.4192540732786668,True,False,False,False,False
impute,PR1/PR2,darkgrey,479,5,0.851,-0.347,0.7414,-0.107,0.018653841783717887,True,False,False,False,False
impute,PR1/PR2,black,463,5,0.851,0.274,0.7414,0.475,2.1252637585399945e-27,True,False,False,False,False
impute,PR1/PR2,silver,326,5,0.851,0.228,0.7414,0.207,0.000161951510378426,True,False,False,False,False
impute,PR1/PR2,gainsboro,229,5,0.851,-0.188,0.7414,0.206,0.0017043097339757617,True,False,False,False,False
impute,PR1/PR2,snow,13,5,0.851,0.149,0.7414,-0.298,0.3226306399710876,True,False,False,False,False
impute,PR1/PR2,dimgrey,86,5,0.851,-0.112,0.7463,0.42,5.59301771679302e-05,True,False,False,False,False
impute,PR1/PT1,darkgrey,200,6,0.809,0.102,0.8378,-0.138,0.05156955725939199,True,False,False,False,False
impute,PR2/PT2,darkgrey,19,15,0.82,-0.033,0.8912,-0.289,0.23011347554671543,True,False,False,False,False
impute,PR1/PR2,lightgrey,111,5,0.851,0.02,0.9341,0.331,0.00038490113268720757,True,False,False,False,False
impute,PR1/PT1,dimgrey,197,6,0.809,0.005,0.9837,-0.353,3.547630617312776e-07,True,False,False,False,False
