Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),67/310,1.041504247772273e-26,3.604646201539837e-23,0,0,6.036989185567997,361.1722133708384,RET;CD40;FLT1;CXCL17;TREM2;CRKL;ICAM1;IGF1R;GHR;MYDGF;KDR;TNFSF11;CCN2;LGALS9;PDGFRB;EDN1;GPR37;F2R;DOK2;KIT;ERP29;CHI3L1;XCL1;ADAM8;TMEM106A;CCL14;CCL13;SEMA7A;PDGFB;GPNMB;IRAK1;ERBB4;CCL5;CCL4;CCL3;CCL2;APOE;CCL19;IGFBP6;CCL18;CCL17;CCL24;CD74;NTRK2;CCL23;CCL22;TGFB1;CCL21;ANGPT1;CCL20;GDF15;EGF;PLA2G2A;SEMA4C;OSM;EIF2AK2;VEGFA;BMP4;MARCO;GH1;CD4;PTPRC;LEP;GHRL;TEK;FGFR4;CCL26,
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),59/257,4.400753489286305e-25,7.615503913209953e-22,0,0,6.479687427268073,363.3993480805058,CXCL6;CSF3R;IL5RA;CXCL1;CXCL3;CXCL5;GHR;IL18RAP;TNFSF11;IL6R;IL13RA1;IL4R;IL18;LIFR;TRAF2;IRAK4;OSMR;TNFRSF1B;IL17RA;CEACAM1;KIT;TFF2;XCL1;IL6ST;CCL14;YAP1;CCL13;SRC;PDGFB;CSF2RB;TNFRSF11A;LILRA3;CSF2RA;IRAK1;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CD300LF;CCL17;LYN;CCL24;CCL23;CCL22;CCL21;CCL20;OSM;PPBP;LILRB2;LILRB4;CD4;CXCL12;IL7;LEP;PTPN6;P4HB;CCL26,immune
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),80/525,2.872237289865989e-21,3.313604420075396e-18,0,0,3.953782683098311,187.0107408170401,RET;ITGB1;CD40;FLT1;FASLG;TREM2;EDA2R;IGF1R;MYDGF;LGALS1;CASP8;KDR;TNFSF10;TNFSF11;TRIM25;ITGAV;IKBKG;LGALS9;PDGFRB;GPR37;HGF;F2R;IL18;SHISA5;TRAF2;IRAK4;RHOC;EDAR;DOK2;EEF1D;KIT;HCLS1;TRIM58;CHI3L1;ADAM8;GAPDH;TMEM106A;TLR3;ENG;HBEGF;CANT1;SRC;PDGFB;TXN;IRAK1;CCL5;CCL4;CCL3;CCL19;IGFBP6;FADD;KIAA0319;HEXIM1;LYN;NTRK2;CD74;TGFB1;CCL21;ANGPT1;GDF15;EGF;OSM;EIF2AK2;TNFRSF10B;AGT;VEGFA;BMP4;SELP;GH1;MAVS;CD4;PTPRC;LEP;CNTN1;CD27;PTPN6;GHRL;HPSE;TEK;CC2D1A,
GO_Biological_Process_2023,Positive Regulation Of Phosphorylation (GO:0042327),51/231,4.9666830416040046e-21,4.297422501747866e-18,0,0,6.110749619482497,285.68692307152975,RET;CD40;CDKN1A;FLT1;TREM2;CRKL;IGF1R;FGF5;MYDGF;AKT2;KDR;RSPO1;EPHB4;PDGFRB;DSCAM;HGF;AXIN1;PLAUR;MMP9;TYRO3;ERP29;PECAM1;FAM20A;EPHA1;MET;EPHA2;ENG;STK4;C3;GPNMB;ERBB4;CCL5;LYN;CD74;NTRK2;TGFB1;ANGPT1;EGF;RARRES2;TIE1;VEGFC;MERTK;VEGFA;BMP4;EFNA1;MARCO;MAVS;CD4;LEP;TEK;FGFR4,
GO_Biological_Process_2023,Monocyte Chemotaxis (GO:0002548),23/42,3.083778551486853e-20,2.1345915133392e-17,0,0,25.514788076385653,1146.2657908245376,CCL14;CCL13;CCL24;CALCA;CCL23;FLT1;CCL22;CCL21;CCL20;PDGFB;TNFRSF11A;CCL5;CCL4;CCL3;CCL2;TNFSF11;XCL1;CCL19;CCL18;FOLR2;CCL17;IL6R;CCL26,
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),51/244,6.42943743093662e-20,3.708713824745274e-17,0,0,5.6952232237916105,251.676554822684,PTPRR;PSCA;CXCL17;TREM2;CRKL;ICAM1;KDR;TIMP3;CCN2;LGALS9;PDGFRB;EPHA4;F2R;CEACAM1;CHI3L1;XCL1;EPHA2;CCL14;CCL13;SEMA7A;PDGFB;GPNMB;ERBB4;CCL5;CCL4;CCL3;CCL2;APOE;CCL19;CCL18;CCL17;LYN;CCL24;CD74;NTRK2;PTPN1;CCL23;CCL22;TGFB1;CCL21;ANGPT1;CCL20;PLA2G2A;MARCO;CD4;PTPRC;TNIP1;PTPN6;TEK;FGFR4;CCL26,
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),43/179,2.0649594933369464e-19,1.0209749723484532e-16,0,0,6.773115184988022,291.40654941749807,CCL14;CCL13;SEMA7A;CXCL17;PDGFB;TREM2;TNFRSF11A;CRKL;ICAM1;GPNMB;ERBB4;CCL5;CCL4;KDR;CCL3;TNFSF11;CCL2;CCN2;LGALS9;APOE;CCL19;CCL18;CCL17;PDGFRB;CCL24;CD74;NTRK2;CCL23;TGFB1;CCL22;ANGPT1;CCL21;CCL20;F2R;PLA2G2A;MARCO;CD4;PTPRC;CHI3L1;XCL1;TEK;FGFR4;CCL26,
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),36/130,1.2090009240640237e-18,5.230440247731982e-16,0,0,8.157747689662584,336.5620537015921,CD40;SRC;CD80;PDGFB;TREM2;THBS4;GHR;ERBB4;CCL5;ENPP2;ABL1;TNFRSF14;IL6R;PIBF1;LYN;EPHA4;CD74;PTPN1;ACE;TGFB1;ANGPT1;HGF;IL18;OSM;AGT;VEGFA;EFNA1;GH1;PTPRC;ARL2BP;BANK1;KIT;PECAM1;HCLS1;ITGA5;IL6ST,
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),28/77,2.671119273030015e-18,1.027193755995209e-15,0,0,12.09216589861751,489.29781309449817,CCL14;CXCL6;CCL13;ITGB2;CXCL1;UMOD;CXCL3;CXCL5;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CCL17;CCL24;EDN1;CCL23;CCL22;CCL21;CCL20;GP2;IRAK4;PPBP;PECAM1;XCL1;PPIB;CCL26,
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),61/377,9.646030420955716e-18,3.3384911286927736e-15,0,0,4.181077703394042,163.8145625328118,ACVRL1;CD40;CDKN1A;CD80;TREM2;CRKL;FGF5;GHR;MYDGF;AKT2;KDR;ENPP2;RSPO1;IL6R;MAP3K5;HGF;AXIN1;PLAUR;MMP9;BANK1;ERP29;PECAM1;HCLS1;CHI3L1;FAM20A;ITGA5;ENG;SRC;PDGFB;TXN;STK4;THBS4;C3;GPNMB;ERBB4;TNFRSF14;CCL19;LYN;CD74;NTRK2;TGFB1;CCL21;ANGPT1;GDF15;BDNF;EGF;RARRES2;OSM;VEGFC;AGT;VEGFA;BMP4;EFNA1;MARCO;GH1;MAVS;CD4;PTPRC;LEP;TEK;EIF4G1,
