Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
GO_Biological_Process_2023,Negative Regulation Of Peptidase Activity (GO:0010466),11/60,1.6952260574811452e-11,2.2919456297145082e-08,0,0,23.459777561818377,581.8170268063571,SERPINA3;SERPINF2;SERPINI2;SERPING1;SPOCK1;TIMP1;SERPINI1;CST7;SERPINA7;SERPINA4;TIMP4,
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),11/66,5.0431132081884407e-11,3.4091445287353866e-08,0,0,20.894179894179896,495.4096227092107,SERPINA3;SERPINF2;SERPINI2;SERPING1;SPOCK1;TIMP1;SERPINI1;SERPINA7;SERPINA4;TIMP4;CST5,
GO_Biological_Process_2023,Regulation Of Endopeptidase Activity (GO:0052548),11/69,8.342858244209066e-11,3.7598481153902195e-08,0,0,19.81043605181536,459.7413867419844,SERPINA3;SERPINF2;SERPINI2;SERPING1;SPOCK1;FURIN;TIMP1;SERPINI1;SERPINA7;SERPINA4;TIMP4,
GO_Biological_Process_2023,Proteolysis (GO:0006508),18/330,6.377638412642044e-09,2.155641783473011e-06,0,0,6.177514792899408,116.57259498957734,CELA3A;CELA2A;CPA1;CPB2;CPB1;TMPRSS5;CTRB1;KLK13;FURIN;PLG;CTSV;TMPRSS11D;THBD;ANPEP;PRTN3;CTSF;CTSE;PRSS2,
GO_Biological_Process_2023,Extracellular Matrix Disassembly (GO:0022617),7/44,2.521508456621021e-07,6.818158866703239e-05,0,0,19.37277692199972,294.335216979438,GSN;FURIN;PLG;CTSV;LCP1;PRSS2;KLK7,
GO_Biological_Process_2023,Cellular Component Disassembly (GO:0022411),7/46,3.4629243628747584e-07,7.80312289767779e-05,0,0,18.377441211638104,273.3824888472053,GSN;FURIN;PLG;CTSV;LCP1;PRSS2;KLK7,
GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),6/30,4.509337880890261e-07,8.709464021376617e-05,0,0,25.484536082474225,372.378647731317,THBD;FGA;CPB2;F11;SERPINF2;PLG,
GO_Biological_Process_2023,Zymogen Activation (GO:0031638),6/45,5.460384341431847e-06,0.000922804953701982,0,0,15.670896114195084,189.8997840048912,THBD;FGA;C1R;CD5L;F11;FURIN,
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),10/176,1.148092784759146e-05,0.0017246904944381,0,0,6.225110970196575,70.80953760381045,GSN;SERPINF2;FURIN;PLG;TGFBI;CTSV;LCP1;PRSS2;KLK7;MATN3,
GO_Biological_Process_2023,Regulation Of Fibrinolysis (GO:0051917),4/16,1.6073421914510297e-05,0.0021731266428417,0,0,33.6530612244898,371.4740483715657,THBD;F11;SERPINF2;PLG,
GO_Biological_Process_2023,Negative Regulation Of Fibrinolysis (GO:0051918),3/11,0.00015320271943439296,0.0188300069704817,0,0,37.6751269035533,330.92884130781977,THBD;SERPINF2;PLG,
GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),5/54,0.0002020828777619212,0.0195815011256519,0,0,10.33542647828362,87.92174350764732,SERPINF2;CCN4;HMOX1;ANG;APOD,
GO_Biological_Process_2023,Fibrinolysis (GO:0042730),3/12,0.00020276702349047895,0.0195815011256519,0,0,33.48730964467005,284.75776049641166,FGA;SERPINF2;PLG,
GO_Biological_Process_2023,Negative Regulation Of Complement Activation (GO:0045916),3/12,0.00020276702349047895,0.0195815011256519,0,0,33.48730964467005,284.75776049641166,SERPING1;CD59;CD55,immune
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269),4/32,0.0002802069439193893,0.0235227189806542,0,0,14.411078717201166,117.88236655881762,KLRB1;LILRB1;CD226;KLRD1,
GO_Biological_Process_2023,Regulation Of Tumor Necrosis Factor Production (GO:0032680),7/127,0.0002924396738320178,0.0235227189806542,0,0,5.948186528497409,48.40189365254897,CLEC7A;SIRPA;LY96;LILRB1;LCP1;LILRA2;CD33,
GO_Biological_Process_2023,Negative Regulation Of Endocytosis (GO:0045806),4/33,0.000316376872754873,0.0235227189806542,0,0,13.913441238564392,112.12252948199962,LGALS3;SIRPA;LILRB1;PRTN3,
GO_Biological_Process_2023,"Blood Coagulation, Fibrin Clot Formation (GO:0072378)",3/14,0.000330570754905644,0.0235227189806542,0,0,27.395939086294412,219.56995457412373,FGA;THBD;F13B,
GO_Biological_Process_2023,Protein Activation Cascade (GO:0072376),3/14,0.000330570754905644,0.0235227189806542,0,0,27.395939086294412,219.56995457412373,FGA;THBD;F13B,
GO_Biological_Process_2023,Negative Regulation Of Immune Effector Process (GO:0002698),3/15,0.00041017649693527065,0.0277279311928242,0,0,25.111675126903556,195.84402098106767,LGALS3;LILRB1;CD55,immune
GO_Biological_Process_2023,Positive Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010744),3/17,0.0006040394207294829,0.0371209680375573,0,0,21.5221174764322,159.51916044937724,MSR1;PLA2G10;LCP1,
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transport (GO:0051926),3/17,0.0006040394207294829,0.0371209680375573,0,0,21.5221174764322,159.51916044937724,STC1;LILRB1;CD33,electrolyte transport
GO_Biological_Process_2023,Negative Regulation Of Monoatomic Ion Transport (GO:0043271),3/18,0.0007195272026923491,0.0422956860017415,0,0,20.086294416243653,145.36282995258424,STC1;LILRB1;CD33,electrolyte transport
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),7/155,0.0009626213781436188,0.0459960868806277,0,0,4.81599215796107,33.45116102108894,THBD;SERPINF2;CCN4;LY96;PLG;LCP1;TNFRSF1A,
GO_Biological_Process_2023,Regulation Of Neutrophil Extravasation (GO:2000389),2/5,0.0009754681839454336,0.0459960868806277,0,0,66.65656565656566,462.1028413784856,OLFM4;CD99,
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Storage (GO:0010886),2/5,0.0009754681839454336,0.0459960868806277,0,0,66.65656565656566,462.1028413784856,MSR1;LCP1,
GO_Biological_Process_2023,Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To MHC Molecule On Antigen Presenting Cell (GO:2001188),2/5,0.0009754681839454336,0.0459960868806277,0,0,66.65656565656566,462.1028413784856,LGALS3;LILRB1,immune
GO_Biological_Process_2023,Positive Regulation Of Lipid Storage (GO:0010884),3/20,0.0009905301969888136,0.0459960868806277,0,0,17.721409375933113,122.5837770787782,MSR1;PLA2G10;LCP1,
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),5/77,0.0010489037290013,0.0459960868806277,0,0,7.0256410256410255,48.19596578027063,CCL25;LGALS3;CXCL11;CCL8;PRTN3,
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),5/77,0.0010489037290013,0.0459960868806277,0,0,7.0256410256410255,48.19596578027063,CD86;LGALS3;TFRC;LILRB1;TNFSF8,immune
GO_Biological_Process_2023,Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664),3/21,0.0011471485105092,0.0459960868806277,0,0,16.736040609137056,113.3109608085056,LY96;LILRA2;CD55,
GO_Biological_Process_2023,Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043),3/21,0.0011471485105092,0.0459960868806277,0,0,16.736040609137056,113.3109608085056,FURIN;TIMP1;TIMP4,
GO_Biological_Process_2023,Positive Regulation Of Blood Coagulation (GO:0030194),3/21,0.0011471485105092,0.0459960868806277,0,0,16.736040609137056,113.3109608085056,THBD;SERPINF2;PLG,
GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),6/117,0.0011567063268796,0.0459960868806277,0,0,5.48592922819727,37.096833699330126,CD86;CXCL11;AXL;SIRPA;LY96;LILRB1,
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),13/483,0.0011949454517424,0.0461590357358781,0,0,2.8591421094550005,19.241039254139466,CD86;CSF3;BMP10;FLT4;SERPINF2;TGFBR2;CLEC7A;CCN4;HMOX1;PRTN3;TIMP1;CGA;FGFR2,
GO_Biological_Process_2023,Dendritic Cell Differentiation (GO:0097028),3/22,0.0013185462203513,0.048817655437324,0,0,15.854394870424793,105.13406751270358,LILRB1;PRTN3;TGFBR2,
GO_Biological_Process_2023,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),5/82,0.0013914912536232,0.048817655437324,0,0,6.567765567765568,43.19868504699028,CD86;CLEC7A;LY96;LCP1;LILRA2,immune
GO_Biological_Process_2023,Negative Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051045),2/6,0.0014535707837741,0.048817655437324,0,0,49.98989898989899,326.6206097208578,TIMP1;TIMP4,
GO_Biological_Process_2023,Regulation Of Osteoclast Development (GO:2001204),2/6,0.0014535707837741,0.048817655437324,0,0,49.98989898989899,326.6206097208578,NOTCH2;LILRB1,
GO_Biological_Process_2023,Negative Regulation Of Catecholamine Secretion (GO:0033604),2/6,0.0014535707837741,0.048817655437324,0,0,49.98989898989899,326.6206097208578,CHGA;CRH,
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),10/320,0.0014804170657768,0.048817655437324,0,0,3.3089983022071308,21.559551539037667,CD86;CLEC7A;FLT4;SERPINF2;PAEP;HMOX1;LILRB1;CD226;LCP1;LILRA2,immune
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),5/84,0.0015493286238675,0.0490269391185104,0,0,6.40084388185654,41.41303482134472,CLEC7A;SIRPA;LCP1;LILRA2;CD33,immune
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),6/124,0.0015592887441538,0.0490269391185104,0,0,5.158658046479119,33.34311780301567,CD86;CXCL11;AXL;SIRPA;LY96;LILRB1,
KEGG_2021_Human,Complement and coagulation cascades,19/85,1.001920659467903e-20,1.633130674932682e-18,0,0,31.386740331491712,1445.3525826771397,FGA;CPB2;C1S;C1R;SERPINC1;SERPINF2;CFI;F11;PLG;THBD;C7;C9;CFHR4;SERPING1;CFHR5;CD59;F13B;CFB;CD55,immune
KEGG_2021_Human,Pancreatic secretion,11/102,6.1175058742085245e-09,4.985767287479947e-07,0,0,12.605325891040176,238.39332698525752,PNLIPRP1;CELA3A;CPA1;CPB2;CELA2A;CPB1;AMY2A;AMY2B;CTRB1;PLA2G10;PRSS2,
KEGG_2021_Human,Cytokine-cytokine receptor interaction,14/295,1.7204092466292611e-06,9.347556906685653e-05,0,0,5.228370259824743,69.39588847269259,CCL25;CSF3;BMP10;TNFRSF13B;IFNGR2;TNFRSF19;TNFRSF1A;TGFBR2;IL1RL1;CXCL11;CCL8;FAS;TNFRSF17;TNFSF8,immune
KEGG_2021_Human,Hematopoietic cell lineage,7/99,6.162159800642485e-05,0.0025110801187618,0,0,7.769542689794999,75.32181709185066,FCER2;CSF3;TFRC;ANPEP;CD59;CD33;CD55,
KEGG_2021_Human,Protein digestion and absorption,7/103,7.930347376917558e-05,0.0025852932448751,0,0,7.444300518134715,70.2907874444725,CELA3A;CPA1;CPB2;CELA2A;CPB1;CTRB1;PRSS2,
KEGG_2021_Human,Osteoclast differentiation,7/127,0.0002924396738320178,0.0079446111391031,0,0,5.948186528497409,48.40189365254897,IFNGR2;SIRPA;LILRB1;LILRA2;TGFBR2;TNFRSF1A;LILRA5,
KEGG_2021_Human,Staphylococcus aureus infection,6/95,0.0003852164645539641,0.0089700405317565,0,0,6.8496467045059655,53.849902677165886,C1S;C1R;CFI;PLG;FCAR;CFB,
KEGG_2021_Human,Coronavirus disease,9/232,0.0005641577261120216,0.0114947136695324,0,0,4.136665649285094,30.942989961358258,FGA;CSF3;C7;C1S;C1R;C9;F13B;CFB;TNFRSF1A,
KEGG_2021_Human,Cell adhesion molecules,7/148,0.0007336401195183642,0.0132870377201659,0,0,5.056884577224121,36.49802372804252,CD86;VCAN;CD226;ESAM;NCAM2;CD99;JAM2,
KEGG_2021_Human,Fat digestion and absorption,4/43,0.0008826236600453894,0.0143867656587398,0,0,10.34065934065934,72.72184139201934,PNLIPRP1;LIPF;CLPS;PLA2G10,
KEGG_2021_Human,Intestinal immune network for IgA production,4/48,0.0013385699216315,0.019835172475086,0,0,9.16326530612245,60.625569437732594,CD86;CCL25;TNFRSF13B;TNFRSF17,immune
