Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,theme
KEGG_2021_Human,Cell adhesion molecules,4/148,4.425693631752293e-05,0.0030094716695915,0,0,23.948067632850243,240.0913148344046,CDH1;ESAM;NECTIN2;JAM2,
GO_Biological_Process_2023,Negative Regulation Of Extracellular Matrix Organization (GO:1903054),2/9,6.281272926601724e-05,0.0099543176653311,0,0,228.18285714285716,2207.749647985094,CST3;TNFRSF1A,
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),4/172,7.942274732977013e-05,0.0099543176653311,0,0,20.50207039337474,193.55442369509333,CDH1;ESAM;SCARF2;NECTIN2,
GO_Biological_Process_2023,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),3/60,7.132357159520095e-05,0.0099543176653311,0,0,43.675438596491226,417.025477907128,CDH1;ESAM;NECTIN2,
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,3/100,0.0003251243529193447,0.0110542279992577,0,0,25.61340206185567,205.70898832313847,TNFRSF14;CCL16;TNFRSF1A,4. Immune response
KEGG_2021_Human,Cytokine-cytokine receptor interaction,4/295,0.0006227501757337363,0.0141156706499646,0,0,11.762737188106977,86.82505801521842,TNFRSF19;TNFRSF14;CCL16;TNFRSF1A,4. Immune response
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Migration (GO:2000403),2/16,0.0002081602777085212,0.0195670661046009,0,0,114.05142857142856,966.8370222355946,TNFRSF14;JAM2,4. Immune response
GO_Biological_Process_2023,Cholesterol Efflux (GO:0033344),2/23,0.0004363226617166182,0.0328114641610896,0,0,76.00761904761904,588.0807184774015,NPC2;APOA4,7. Metabolism / neurological signaling
KEGG_2021_Human,Cholesterol metabolism,2/50,0.0020657293545543,0.0351173990274238,0,0,33.208333333333336,205.3029465636782,NPC2;APOA4,7. Metabolism / neurological signaling
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),2/29,0.0006966995649997684,0.0436598394066521,0,0,59.099259259259256,429.60175160556776,ESAM;JAM2,7. Metabolism / neurological signaling
