protein,contrast,module,MM,GS,score,top_term,top_term_fdr
EFCAB14,PT1/PT2,dimgrey,0.844,0.787,0.664,,
CLEC14A,PT1/PT2,dimgrey,0.868,0.754,0.654,,
AP3B1,PR2/PT2,black,0.926,0.632,0.586,Lysosome,3.6e-06
TNFRSF19,PT1/PT2,dimgrey,0.826,0.708,0.585,Cytokine-cytokine receptor interaction,8.5e-08
MESD,PR2/PT2,black,0.913,0.637,0.582,Phagocytosis,1.4e-06
LAYN,PT1/PT2,dimgrey,0.914,0.63,0.576,,
TNFRSF1A,PT1/PT2,dimgrey,0.805,0.711,0.572,Cytokine-cytokine receptor interaction,8.5e-08
ABL1,PR2/PT2,black,0.963,0.593,0.571,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation,2.2e-10
SCARF2,PT1/PT2,dimgrey,0.833,0.681,0.567,,
TRIAP1,PR2/PT2,black,0.91,0.623,0.567,Negative Regulation Of Apoptotic Process,7.4e-08
HDGFL2,PR2/PT2,black,0.962,0.587,0.565,Positive Regulation Of Cellular Process,5.4e-07
GFER,PR2/PT2,black,0.929,0.605,0.562,,
CIRBP,PR2/PT2,black,0.948,0.589,0.558,Positive Regulation Of Protein Metabolic Process,2.6e-02
SERPINB6,PR2/PT2,black,0.944,0.591,0.558,Negative Regulation Of Peptidase Activity,1.2e-06
EDN1,PT1/PT2,dimgrey,0.775,0.716,0.555,Positive Regulation Of Cell Population Proliferation,5.4e-04
TXNRD1,PR2/PT2,black,0.764,0.724,0.553,Pathways in cancer,2.0e-04
CC2D1A,PR2/PT2,black,0.951,0.581,0.552,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
MYO9B,PR2/PT2,black,0.927,0.592,0.549,Regulation Of Rho Protein Signal Transduction,3.4e-03
BIN2,PR2/PT2,black,0.918,0.597,0.548,Phagocytosis,1.4e-06
HARS1,PR2/PT2,black,0.919,0.586,0.539,,
NECTIN2,PT1/PT2,dimgrey,0.841,0.638,0.537,Cell adhesion molecules,3.2e-04
STX7,PR2/PT2,black,0.952,0.564,0.537,Regulation Of Protein Localization To Plasma Membrane,1.9e-04
SNAP29,PR2/PT2,black,0.966,0.557,0.537,SNARE interactions in vesicular transport,1.2e-03
YES1,PR2/PT2,black,0.964,0.557,0.537,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,1.3e-05
MYDGF,PR2/PT2,black,0.941,0.57,0.536,Positive Regulation Of Intracellular Signal Transduction,1.1e-12
FAM172A,PR2/PT2,black,0.926,0.578,0.535,,
OXCT1,PR2/PT2,black,0.862,0.62,0.535,,
FAM3C,PT1/PT2,dimgrey,0.788,0.679,0.535,,
L3HYPDH,PR2/PT2,black,0.814,0.655,0.533,,
DUT,PR2/PT2,black,0.937,0.569,0.533,Pyrimidine metabolism,7.0e-03
CRKL,PR2/PT2,black,0.949,0.56,0.532,Positive Regulation Of MAPK Cascade,1.1e-10
