Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Vesicle-Mediated Transport (GO:0016192),17/411,4.977740812769901e-07,0.000757114377622302,0,0,4.786627991298042,69.46890411110876,STX7;SNAP23;INPPL1;TNFAIP2;SCRIB;RAB27B;AP3B1;EHD3;PLIN3;STX4;MITD1;SNX9;CHMP6;RAB11FIP3;SNAP29;WASHC3;ARF6
GO_Biological_Process_2023,Cellular Response To Chemical Stress (GO:0062197),8/89,2.2660744545582177e-06,0.0017233496226915,0,0,10.588835212023618,137.62797840722237,MSRA;LONP1;ABL1;HTRA2;STX4;PARK7;SERPINB6;HSPA1A
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),6/61,2.5918070722533253e-05,0.0131404618563243,0,0,11.58533724340176,122.34776633729004,PTPN1;SRC;HTRA2;ENO1;PARK7;HSPA1A
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),13/377,7.563316362828151e-05,0.0234493310044507,0,0,3.8794892258579408,36.81486186038919,CDKN1A;SRC;PARK7;STK4;CRKL;MYDGF;MAVS;AKT2;ERP29;HCLS1;SNX9;MAP3K5;EIF4G1
GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),8/144,7.708524327564362e-05,0.0234493310044507,0,0,6.289002557544757,59.56061940123402,BRAP;DOK2;CDKN1A;DBNL;GRAP2;MYO9B;PARK7;CRKL
GO_Biological_Process_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),6/80,0.00012063311193052882,0.0262027457582471,0,0,8.602441150828248,77.61773397216746,HEXIM1;PTPN1;CDKN1A;HHEX;PRKAR1A;PRKAR2A
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),7/117,0.0001371938881532625,0.0262027457582471,0,0,6.775724815724816,60.26407836636496,MSRA;LONP1;ABL1;HTRA2;STX4;PARK7;HSPA1A
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),6/82,0.00013835897332916045,0.0262027457582471,0,0,8.375212224108658,74.41927982756305,SRC;AKR1B1;PARK7;TRIAP1;FXN;HSPA1A
GO_Biological_Process_2023,Protein Localization (GO:0008104),12/351,0.00015504583288903623,0.0262027457582471,0,0,3.8287118977384464,33.58465592844173,HHEX;PACS2;IST1;STX7;ERP29;ERBIN;STX4;AP3B1;SNX9;DMD;MESD;ARF6
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),18/711,0.00017817771047852913,0.0271008297637842,0,0,2.8534109568592325,24.632723893533345,PTPN1;GPI;MAP2K1;YES1;PPP1R12A;UBE2L6;PARK7;CDC42BPB;STK4;MSRA;IRAK1;ATG16L1;AKT2;ABL1;MAP4K5;PRKG1;MAP3K5;METAP2
GO_Biological_Process_2023,Organelle Assembly (GO:0070925),11/322,0.00029349436786765647,0.0405822666842459,0,0,3.809969622142083,30.988967450183587,EHD3;DNMBP;RILPL2;PACS2;IST1;ATG16L1;STX7;VPS37A;AP3B1;CHMP6;SNAP29
GO_Biological_Process_2023,tRNA Aminoacylation For Protein Translation (GO:0006418),4/35,0.00034145095333107574,0.0425856298660972,0,0,13.573781743308167,108.35008638243744,HARS1;MARS1;YARS1;DARS1
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),3/15,0.00036397974244527535,0.0425856298660972,0,0,26.185185185185187,207.3450936133645,PTPN1;PARK7;HSPA1A
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),6/102,0.0004541939789203578,0.0447955758283099,0,0,6.623655913978495,50.98218806296529,BAG6;CASP7;CASP3;LONP1;HTRA2;RNF5
GO_Biological_Process_2023,Macroautophagy (GO:0016236),6/104,0.0005037948414349432,0.0447955758283099,0,0,6.487820934825543,49.26423951695257,ATG16L1;SRC;VTI1A;VPS37A;CHMP6;SNAP29
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Potential (GO:0051881),4/39,0.0005205672685194257,0.0447955758283099,0,0,12.020060790273556,90.87876871910176,ATP5IF1;AKT2;ABL1;PARK7
GO_Biological_Process_2023,Regulation Of Mitotic Spindle Organization (GO:0060236),4/39,0.0005205672685194257,0.0447955758283099,0,0,12.020060790273556,90.87876871910176,DCTN1;TACC3;CHMP6;HSPA1A
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),6/105,0.000530125157731479,0.0447955758283099,0,0,6.421961550993809,48.43698631468466,BAG6;CDKN1A;DIABLO;CASP3;HTRA2;MAP3K5
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),14/525,0.0005698878889582093,0.0456210252160756,0,0,2.970140064645221,22.187156873312592,HEXIM1;FIS1;SRC;PARK7;RHOC;MYDGF;DOK2;MAVS;IRAK1;EEF1D;TRIM58;HCLS1;TRIM25;CC2D1A
GO_Biological_Process_2023,Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175),3/18,0.0006390613870021466,0.0462863033157269,0,0,20.944973544973543,154.06096321654047,HTRA2;PARK7;P4HB
GO_Biological_Process_2023,Protein Autoprocessing (GO:0016540),3/18,0.0006390613870021466,0.0462863033157269,0,0,20.944973544973543,154.06096321654047,HTRA2;FXN;ASRGL1
GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),6/112,0.0007457167761320475,0.0477557548928104,0,0,5.995739500912964,43.17630756347435,BRAP;DOK2;CDKN1A;GRAP2;PARK7;CRKL
