MM,GS,score,symbol,name,module
0.8441420616530265,0.7866375642824673,0.6640338552871171,EFCAB14,EF-hand calcium binding domain 14,impute · PT1_PT2_dimgrey
0.8676314653107129,0.753896330023216,0.6541041775104117,CLEC14A,C-type lectin domain containing 14A,impute · PT1_PT2_dimgrey
0.8259552899723219,0.7084937229705279,0.5851841383996923,TNFRSF19,TNF receptor superfamily member 19,impute · PT1_PT2_dimgrey
0.9139873262209948,0.6302708077481622,0.5760595303688895,LAYN,layilin,impute · PT1_PT2_dimgrey
0.8053588661982549,0.7108202584111311,0.5724653973847391,TNFRSF1A,TNF receptor superfamily member 1A,impute · PT1_PT2_dimgrey
0.8331790752840058,0.680582956282255,0.5670474781693041,SCARF2,scavenger receptor class F member 2,impute · PT1_PT2_dimgrey
0.7752113095645818,0.7159598309798655,0.5550201581695382,EDN1,endothelin 1,impute · PT1_PT2_dimgrey
0.8413841680640533,0.6377495894812761,0.536592407778895,NECTIN2,nectin cell adhesion molecule 2,impute · PT1_PT2_dimgrey
0.7884863926545339,0.6789490440739859,0.5353420825581413,FAM3C,FAM3 metabolism regulating signaling molecule C,impute · PT1_PT2_dimgrey
0.792069969890051,0.6649395955015995,0.5266786853876546,HSPG2,heparan sulfate proteoglycan 2,impute · PT1_PT2_dimgrey
0.8707034717628324,0.6017957011288557,0.5239856062648425,APOA4,apolipoprotein A4,impute · PT1_PT2_dimgrey
0.754631065488614,0.6906273443121733,0.5211688486938673,CCL16,C-C motif chemokine ligand 16,impute · PT1_PT2_dimgrey
0.7691606415951762,0.6677490174975925,0.5136062627229968,SHISA5,shisa family member 5,impute · PT1_PT2_dimgrey
0.8781955153125689,0.5821202927671518,0.5112154304805524,CDH1,cadherin 1,impute · PT1_PT2_dimgrey
0.811486993938895,0.6240633374278375,0.5064192817167902,PIK3IP1,phosphoinositide-3-kinase interacting protein 1,impute · PT1_PT2_dimgrey
0.9179070678290671,0.5493345566084469,0.5042380721136401,NPC2,NPC intracellular cholesterol transporter 2,impute · PT1_PT2_dimgrey
0.7887230529560078,0.6382593093839943,0.5034098310749371,CST3,cystatin C,impute · PT1_PT2_dimgrey
0.7071168839778113,0.6710407212455749,0.47450422382939395,HIP1R,huntingtin interacting protein 1 related,impute · PT1_PT2_dimgrey
0.8894849579428068,0.5299080746369067,0.4713452614819627,TNFRSF14,TNF receptor superfamily member 14,impute · PT1_PT2_dimgrey
0.7497658034856631,0.6105466143922921,0.4577669729052882,ADAM22,ADAM metallopeptidase domain 22,impute · PT1_PT2_dimgrey
0.8041141373143617,0.5671045914394427,0.456016819312341,ESAM,endothelial cell adhesion molecule,impute · PT1_PT2_dimgrey
0.7789994026907158,0.5848869126080422,0.4556265555632817,FSTL3,follistatin like 3,impute · PT1_PT2_dimgrey
0.8316015707088211,0.5468683596357712,0.4547765868440638,WARS,,impute · PT1_PT2_dimgrey
0.7156410264465269,0.6315697817545919,0.45197724688746516,KAZALD1,Kazal type serine peptidase inhibitor domain 1,impute · PT1_PT2_dimgrey
0.8344443749678254,0.5238671993804161,0.43713803775313653,JAM2,junctional adhesion molecule 2,impute · PT1_PT2_dimgrey
0.7651203669133373,0.5552568402515876,0.424838317344435,COLEC12,collectin subfamily member 12,impute · PT1_PT2_dimgrey
0.7455484607386191,0.5466874496296165,0.4075819865764819,REG1A,regenerating family member 1 alpha,impute · PT1_PT2_dimgrey
0.9262339636046479,0.6323245441918594,0.5856804688513283,AP3B1,adaptor related protein complex 3 subunit beta 1,impute · PR2_PT2_black
0.9129058743429969,0.6373208921476061,0.5818139862830691,MESD,mesoderm development LRP chaperone,impute · PR2_PT2_black
0.9632112539414742,0.5929631393488296,0.5711487689932593,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",impute · PR2_PT2_black
0.909759182184364,0.6228033224989111,0.5666010413383141,TRIAP1,TP53 regulated inhibitor of apoptosis 1,impute · PR2_PT2_black
0.9618217925852499,0.5873136591797339,0.5648910764820542,HDGFL2,HDGF like 2,impute · PR2_PT2_black
0.9292628899305511,0.6052514234449526,0.5624376868850364,GFER,"growth factor, augmenter of liver regeneration",impute · PR2_PT2_black
0.947510671432886,0.5891728411394885,0.5582475542980979,CIRBP,cold inducible RNA binding protein,impute · PR2_PT2_black
0.9440935674474386,0.5913035218793221,0.5582458514152837,SERPINB6,serpin family B member 6,impute · PR2_PT2_black
0.7641962853181832,0.7236022705066152,0.5529741671689584,TXNRD1,thioredoxin reductase 1,impute · PR2_PT2_black
0.9507834875880391,0.5806520800118362,0.5520744097089028,CC2D1A,coiled-coil and C2 domain containing 1A,impute · PR2_PT2_black
0.927467398411915,0.5915974057574275,0.5486873068250793,MYO9B,myosin IXB,impute · PR2_PT2_black
0.9176352530718707,0.5969591705247294,0.547790779518034,BIN2,bridging integrator 2,impute · PR2_PT2_black
0.9191614019903256,0.5860157859957853,0.5386430914443486,HARS1,histidyl-tRNA synthetase 1,impute · PR2_PT2_black
0.9657747667110511,0.5565319081712803,0.5374844737813743,SNAP29,synaptosome associated protein 29,impute · PR2_PT2_black
0.9642475389224181,0.5566381084685053,0.5367369261611862,YES1,"YES proto-oncogene 1, Src family tyrosine kinase",impute · PR2_PT2_black
0.9518257078370993,0.5638588922183481,0.5366953892059718,STX7,syntaxin 7,impute · PR2_PT2_black
0.9408291799397013,0.5699287838001935,0.5362056302867674,MYDGF,myeloid derived growth factor,impute · PR2_PT2_black
0.9261021184599172,0.577900942606115,0.5351952872075061,FAM172A,,impute · PR2_PT2_black
0.8623207066080707,0.620342822495004,0.5349344610331369,OXCT1,3-oxoacid CoA-transferase 1,impute · PR2_PT2_black
0.9368065938060464,0.5694006099521829,0.5334182459203897,DUT,deoxyuridine triphosphatase,impute · PR2_PT2_black
0.8142219190062376,0.6549998150086377,0.5333152063250637,L3HYPDH,trans-L-3-hydroxyproline dehydratase,impute · PR2_PT2_black
0.9487471234063957,0.5604954177130426,0.5317684152377152,CRKL,"CRK like proto-oncogene, adaptor protein",impute · PR2_PT2_black
0.9385214401114167,0.5664997420560619,0.5316721537372013,ARF6,ARF GTPase 6,impute · PR2_PT2_black
0.9469970373919617,0.5601817751763056,0.5304904814929314,ERP29,endoplasmic reticulum protein 29,impute · PR2_PT2_black
0.9427266020584525,0.562366476172497,0.5301578371936838,CMC1,C-X9-C motif containing 1,impute · PR2_PT2_black
0.9528196668740587,0.5560542326295383,0.529819408697987,TXNDC5,thioredoxin domain containing 5,impute · PR2_PT2_black
0.9538997987928862,0.5545936729618215,0.5290267930500893,EBAG9,estrogen receptor binding site associated antigen 9,impute · PR2_PT2_black
0.8214136787258899,0.6419697332885682,0.5273227202512412,PPCDC,phosphopantothenoylcysteine decarboxylase,impute · PR2_PT2_black
0.9150776267864393,0.5757397584146289,0.5268465717766565,HPCAL1,hippocalcin like 1,impute · PR2_PT2_black
0.9462570356342731,0.5565301983788359,0.5266206157589112,SNAP23,synaptosome associated protein 23,impute · PR2_PT2_black
0.8789676694171465,0.5990484472061597,0.5265442175087587,ASRGL1,asparaginase and isoaspartyl peptidase 1,impute · PR2_PT2_black
0.9687559412956841,0.5435028464588779,0.5265216116181539,FKBP5,FKBP prolyl isomerase 5,impute · PR2_PT2_black
0.9244432419392269,0.5692912945311231,0.5262774899241307,ATP5IF1,ATP synthase inhibitory factor subunit 1,impute · PR2_PT2_black
0.9239559590975251,0.5694204252352807,0.5261193951279843,PPIB,peptidylprolyl isomerase B,impute · PR2_PT2_black
0.9109883873177012,0.5773861511582301,0.5259920787032105,TOMM20,translocase of outer mitochondrial membrane 20,impute · PR2_PT2_black
0.8110748254564508,0.6475711883333326,0.5252286885480841,FIS1,"fission, mitochondrial 1",impute · PR2_PT2_black
0.9009224436662493,0.5823689283021154,0.5246692380012365,PLEKHO1,pleckstrin homology domain containing O1,impute · PR2_PT2_black
0.9250355879301789,0.566676945722609,0.5241963416529917,DNAJC6,DnaJ heat shock protein family (Hsp40) member C6,impute · PR2_PT2_black
0.9410625919003642,0.5569693292723301,0.5241430006140264,MARS1,methionyl-tRNA synthetase 1,impute · PR2_PT2_black
0.9504142777354896,0.5491415508302728,0.5219119704069004,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14,impute · PR2_PT2_black
0.9474689228984692,0.5492613932483051,0.5204081006506842,TWF2,twinfilin actin binding protein 2,impute · PR2_PT2_black
0.9434675692206151,0.5512446552617638,0.5200814549456723,CEP170,centrosomal protein 170,impute · PR2_PT2_black
0.9735921218767108,0.5341385040493158,0.5200330395334255,PTPN1,protein tyrosine phosphatase non-receptor type 1,impute · PR2_PT2_black
0.9622269566290353,0.5386607764417778,0.518313919571005,MANF,mesencephalic astrocyte derived neurotrophic factor,impute · PR2_PT2_black
0.9615505027228952,0.5382676441632596,0.5175715238446507,TBCC,tubulin folding cofactor C,impute · PR2_PT2_black
0.9518005848749526,0.5434685552053636,0.5172736887056105,MSRA,methionine sulfoxide reductase A,impute · PR2_PT2_black
0.9049190477506148,0.5716156972068542,0.5172659323957303,STIP1,stress induced phosphoprotein 1,impute · PR2_PT2_black
0.9720989158189042,0.5300668008224031,0.515277362391053,NUDT5,nudix hydrolase 5,impute · PR2_PT2_black
0.8450638340696288,0.608763843268,0.5144443074350187,ARL2BP,ARF like GTPase 2 binding protein,impute · PR2_PT2_black
0.9244120163650715,0.5562572018910648,0.5142108416177118,ENO2,enolase 2,impute · PR2_PT2_black
0.9238308601913965,0.5565189732243766,0.5141294017467086,CRYZL1,crystallin zeta like 1,impute · PR2_PT2_black
0.9560854700341253,0.5376363850224446,0.5140263358816318,ERBIN,erbb2 interacting protein,impute · PR2_PT2_black
0.9132916087902058,0.5626583008497894,0.5138711047822677,PLA2G4A,phospholipase A2 group IVA,impute · PR2_PT2_black
0.92756861373594,0.5533644330890397,0.5132834800911749,MGLL,monoglyceride lipase,impute · PR2_PT2_black
0.926808838586926,0.5533612821026783,0.5128601271845556,HHEX,hematopoietically expressed homeobox,impute · PR2_PT2_black
0.9319779484857504,0.5502803442423646,0.5128491463190314,CDC42BPB,CDC42 binding protein kinase beta,impute · PR2_PT2_black
0.9372390630666609,0.5471513486320763,0.5128116173475871,VPS37A,VPS37A subunit of ESCRT-I,impute · PR2_PT2_black
0.9725793692821867,0.5266323525661636,0.5121917613023935,F11R,F11 receptor,impute · PR2_PT2_black
0.9094627220940876,0.5607716317409842,0.5100008946762987,PARK7,Parkinsonism associated deglycase,impute · PR2_PT2_black
0.9715538141052995,0.5238500378966208,0.5089485023376676,PMVK,phosphomevalonate kinase,impute · PR2_PT2_black
0.9008258571250993,0.5644634236731113,0.5084832474460986,PRKG1,protein kinase cGMP-dependent 1,impute · PR2_PT2_black
0.9556023077729073,0.5311572892447352,0.5075751313926705,METAP2,methionyl aminopeptidase 2,impute · PR2_PT2_black
0.9319531971660983,0.5440005645675132,0.5069830654088564,DIABLO,diablo IAP-binding mitochondrial protein,impute · PR2_PT2_black
0.9184147831060843,0.5514768786571125,0.5064845178998924,GRAP2,GRB2 related adaptor protein 2,impute · PR2_PT2_black
0.8804982131949131,0.5742852610662313,0.5056571462329909,AKR1B1,aldo-keto reductase family 1 member B,impute · PR2_PT2_black
0.933275663846469,0.5417882474444675,0.5056377862979504,DARS1,aspartyl-tRNA synthetase 1,impute · PR2_PT2_black
0.911997258131759,0.5539626393211308,0.5052124081683038,HTRA2,HtrA serine peptidase 2,impute · PR2_PT2_black
0.9585925306103187,0.5270270414913171,0.5052041854032311,MAVS,mitochondrial antiviral signaling protein,impute · PR2_PT2_black
0.9392758494400527,0.537517004719816,0.504876741196678,MTSS1,MTSS I-BAR domain containing 1,impute · PR2_PT2_black
0.8805462871885066,0.5731402814940341,0.5046765469077472,SCRIB,scribble planar cell polarity protein,impute · PR2_PT2_black
0.9268851239762705,0.5442852030695051,0.5044898579255278,LGALS8,galectin 8,impute · PR2_PT2_black
0.9452540716275281,0.5333527139139829,0.5041538244407845,MIF,macrophage migration inhibitory factor,impute · PR2_PT2_black
0.92304653449228,0.5448182058095552,0.5028925568008117,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,impute · PR2_PT2_black
0.9282497916404366,0.5411774734731121,0.5023478769919142,UBE2L6,ubiquitin conjugating enzyme E2 L6,impute · PR2_PT2_black
